team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
1860 Munich,26,27.4,,34,378,"3,060",34.0,40,28,68,38,2,3,82,5,1.18,0.82,2.00,1.12,1.94,26,34.0,82,5,,,,,,,,,,
Bayern Munich,25,28.1,,34,374,"3,060",34.0,62,50,112,58,4,5,92,3,1.82,1.47,3.29,1.71,3.18,25,34.0,92,3,,,,,,,,,,
Bochum,33,26.6,,34,374,"3,060",34.0,30,19,49,26,4,4,81,10,0.88,0.56,1.44,0.76,1.32,33,34.0,81,10,,,,,,,,,,
Dortmund,24,27.3,,34,374,"3,060",34.0,59,43,102,56,3,4,74,4,1.74,1.26,3.00,1.65,2.91,24,34.0,74,4,,,,,,,,,,
Eint Frankfurt,34,27.7,,34,373,"3,060",34.0,40,29,69,36,4,6,73,8,1.18,0.85,2.03,1.06,1.91,34,34.0,73,8,,,,,,,,,,
Energie Cottbus,24,28.6,,34,375,"3,060",34.0,38,22,60,36,2,4,79,1,1.12,0.65,1.76,1.06,1.71,24,34.0,79,1,,,,,,,,,,
Freiburg,24,25.1,,34,374,"3,060",34.0,52,35,87,46,6,7,81,3,1.53,1.03,2.56,1.35,2.38,24,34.0,81,3,,,,,,,,,,
Hamburger SV,29,27.9,,34,374,"3,060",34.0,58,41,99,55,3,5,90,6,1.71,1.21,2.91,1.62,2.82,29,34.0,90,6,,,,,,,,,,
Hansa Rostock,24,27.5,,34,374,"3,060",34.0,33,19,52,31,2,3,87,10,0.97,0.56,1.53,0.91,1.47,24,34.0,87,10,,,,,,,,,,
Hertha BSC,26,27.7,,34,373,"3,060",34.0,57,42,99,55,2,3,68,5,1.68,1.24,2.91,1.62,2.85,26,34.0,68,5,,,,,,,,,,
Kaiserslautern,29,27.9,,34,374,"3,060",34.0,48,28,76,42,6,6,92,5,1.41,0.82,2.24,1.24,2.06,29,34.0,92,5,,,,,,,,,,
Köln,26,25.5,,34,374,"3,060",34.0,56,39,95,53,3,3,74,7,1.65,1.15,2.79,1.56,2.71,26,34.0,74,7,,,,,,,,,,
Leverkusen,27,26.5,,34,370,"3,060",34.0,54,39,93,48,6,7,94,8,1.59,1.15,2.74,1.41,2.56,27,34.0,94,8,,,,,,,,,,
Schalke 04,23,29.1,,34,374,"3,060",34.0,62,42,104,60,2,3,75,2,1.82,1.24,3.06,1.76,3.00,23,34.0,75,2,,,,,,,,,,
Stuttgart,28,26.3,,34,375,"3,060",34.0,38,22,60,34,4,4,66,3,1.12,0.65,1.76,1.00,1.65,28,34.0,66,3,,,,,,,,,,
Unterhaching,26,28.0,,34,374,"3,060",34.0,35,23,58,34,1,1,50,4,1.03,0.68,1.71,1.00,1.68,26,34.0,50,4,,,,,,,,,,
Werder Bremen,25,26.8,,34,372,"3,060",34.0,52,29,81,46,6,8,81,3,1.53,0.85,2.38,1.35,2.21,25,34.0,81,3,,,,,,,,,,
Wolfsburg,25,28.8,,34,373,"3,060",34.0,59,41,100,56,3,3,71,1,1.74,1.21,2.94,1.65,2.85,25,34.0,71,1,,,,,,,,,,
