team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,26,24.7,59.3,38,418,"3,420",38.0,84,64,148,81,3,4,51,0,71.6,68.9,53.5,122.4,824,2049,2.21,1.68,3.89,2.13,3.82,1.88,1.41,3.29,1.81,3.22,26,38.0,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5
Aston Villa,26,27.0,49.3,38,418,"3,420",38.0,49,35,84,46,3,4,80,1,50.3,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,26,38.0,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7
Bournemouth,31,26.3,40.4,38,418,"3,420",38.0,37,24,61,37,0,0,68,0,38.5,38.5,28.4,66.9,504,1006,0.97,0.63,1.61,0.97,1.61,1.01,0.75,1.76,1.01,1.76,31,38.0,68,0,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2
Brentford,25,26.2,43.8,38,418,"3,420",38.0,56,36,92,49,7,8,57,1,56.3,50.1,38.4,88.5,392,1131,1.47,0.95,2.42,1.29,2.24,1.48,1.01,2.49,1.32,2.33,25,38.0,57,1,1,354,399,72,661,341,338,7,2,3,1959,664,617,51.8
Brighton,29,26.3,60.2,38,418,"3,420",38.0,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3.00,1.63,2.84,1.93,1.37,3.30,1.81,3.19,29,38.0,58,0,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4
Chelsea,32,26.3,58.7,38,418,"3,420",38.0,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.30,1.02,2.32,1.24,2.26,32,38.0,81,3,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1
Crystal Palace,26,26.7,46.3,38,418,"3,420",38.0,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243,1.00,0.76,1.76,0.97,1.74,1.03,0.76,1.80,0.97,1.73,26,38.0,82,3,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2
Everton,28,26.6,42.8,38,418,"3,420",38.0,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,28,38.0,81,2,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7
Fulham,29,28.2,48.8,38,418,"3,420",38.0,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,663,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,29,38.0,80,1,0,411,405,60,769,340,350,8,8,2,1979,511,550,48.2
Leeds United,29,25.3,47.0,38,418,"3,420",38.0,45,31,76,44,1,3,89,3,47.3,44.9,31.8,76.7,555,1429,1.18,0.82,2.00,1.16,1.97,1.24,0.84,2.08,1.18,2.02,29,38.0,89,3,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1
Leicester City,28,26.1,47.7,38,418,"3,420",38.0,49,36,85,46,3,6,63,2,50.5,45.7,38.4,84.1,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.20,2.21,28,38.0,63,2,2,410,397,83,496,367,412,5,5,5,2013,512,558,47.9
Liverpool,28,27.4,60.8,38,418,"3,420",38.0,71,58,129,69,2,4,57,1,71.5,68.4,55.6,124.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.88,1.46,3.35,1.80,3.26,28,38.0,57,1,0,405,321,84,799,333,370,3,4,2,2211,482,455,51.4
Manchester City,24,27.2,64.7,38,418,"3,420",38.0,92,69,161,83,9,10,44,1,78.6,71.1,57.5,128.6,988,2073,2.42,1.82,4.24,2.18,4.00,2.07,1.51,3.58,1.87,3.38,24,38.0,44,1,0,347,384,51,742,223,272,9,3,1,1866,438,364,54.6
Manchester Utd,26,26.9,53.7,38,418,"3,420",38.0,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.50,1.78,1.37,3.15,1.72,3.09,26,38.0,78,2,0,424,297,79,517,352,400,2,3,1,2190,465,434,51.7
Newcastle Utd,27,27.3,52.3,38,418,"3,420",38.0,64,42,106,58,6,6,61,1,71.9,67.3,51.8,119.1,695,1618,1.68,1.11,2.79,1.53,2.63,1.89,1.36,3.26,1.77,3.13,27,38.0,61,1,0,406,399,71,740,333,360,2,5,2,2065,552,426,56.4
Nott'ham Forest,33,26.5,37.6,38,418,"3,420",38.0,36,22,58,33,3,6,84,0,39.3,34.6,26.3,61.0,436,859,0.95,0.58,1.53,0.87,1.45,1.03,0.69,1.73,0.91,1.60,33,38.0,84,0,0,445,390,67,530,349,387,3,9,0,1902,560,600,48.3
Southampton,36,24.7,44.5,38,418,"3,420",38.0,36,25,61,34,2,4,73,0,37.8,34.6,28.1,62.7,588,1125,0.95,0.66,1.61,0.89,1.55,0.99,0.74,1.73,0.91,1.65,36,38.0,73,0,0,430,378,57,613,427,426,3,3,5,2130,551,611,47.4
Tottenham,29,27.6,50.0,38,418,"3,420",38.0,68,46,114,63,5,6,77,3,57.0,52.3,43.0,95.4,692,1449,1.79,1.21,3.00,1.66,2.87,1.50,1.13,2.63,1.38,2.51,29,38.0,77,3,1,424,353,67,719,340,353,5,4,1,1984,549,474,53.7
