team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
1860 Munich,27,27.6,,34,374,"3,060",34.0,43,33,76,43,0,0,76,4,1.26,0.97,2.24,1.26,2.24,27,34.0,76,4,,,,,,,,,,
Arminia,23,27.6,,34,374,"3,060",34.0,33,27,60,30,3,3,56,5,0.97,0.79,1.76,0.88,1.68,23,34.0,56,5,,,,,,,,,,
Bayern Munich,26,28.1,,34,373,"3,060",34.0,70,60,130,69,1,1,50,0,2.06,1.76,3.82,2.03,3.79,26,34.0,50,0,,,,,,,,,,
Bochum,26,27.8,,34,374,"3,060",34.0,55,38,93,54,1,2,62,0,1.62,1.12,2.74,1.59,2.71,26,34.0,62,0,,,,,,,,,,
Dortmund,25,26.6,,34,374,"3,060",34.0,51,41,92,47,4,5,72,5,1.50,1.21,2.71,1.38,2.59,25,34.0,72,5,,,,,,,,,,
Energie Cottbus,30,27.5,,34,374,"3,060",34.0,33,20,53,32,1,1,91,5,0.97,0.59,1.56,0.94,1.53,30,34.0,91,5,,,,,,,,,,
Gladbach,30,26.9,,34,374,"3,060",34.0,42,31,73,40,2,2,59,4,1.24,0.91,2.15,1.18,2.09,30,34.0,59,4,,,,,,,,,,
Hamburger SV,26,27.6,,34,374,"3,060",34.0,45,36,81,44,1,3,82,6,1.32,1.06,2.38,1.29,2.35,26,34.0,82,6,,,,,,,,,,
Hannover 96,29,27.7,,34,376,"3,060",34.0,46,33,79,45,1,3,78,3,1.35,0.97,2.32,1.32,2.29,29,34.0,78,3,,,,,,,,,,
Hansa Rostock,22,27.7,,34,374,"3,060",34.0,35,26,61,34,1,1,59,5,1.03,0.76,1.79,1.00,1.76,22,34.0,59,5,,,,,,,,,,
Hertha BSC,27,27.2,,34,374,"3,060",34.0,49,43,92,45,4,4,67,1,1.44,1.26,2.71,1.32,2.59,27,34.0,67,1,,,,,,,,,,
Kaiserslautern,27,27.5,,34,374,"3,060",34.0,39,30,69,34,5,6,76,1,1.15,0.88,2.03,1.00,1.88,27,34.0,76,1,,,,,,,,,,
Leverkusen,28,25.6,,34,374,"3,060",34.0,45,33,78,43,2,4,80,6,1.32,0.97,2.29,1.26,2.24,28,34.0,80,6,,,,,,,,,,
Nürnberg,27,26.6,,34,374,"3,060",34.0,33,21,54,27,6,9,74,3,0.97,0.62,1.59,0.79,1.41,27,34.0,74,3,,,,,,,,,,
Schalke 04,24,27.9,,34,374,"3,060",34.0,45,33,78,40,5,7,85,9,1.32,0.97,2.29,1.18,2.15,24,34.0,85,9,,,,,,,,,,
Stuttgart,25,26.5,,34,374,"3,060",34.0,51,42,93,47,4,6,67,2,1.50,1.24,2.74,1.38,2.62,25,34.0,67,2,,,,,,,,,,
Werder Bremen,23,26.3,,34,374,"3,060",34.0,45,38,83,41,4,6,77,8,1.32,1.12,2.44,1.21,2.32,23,34.0,77,8,,,,,,,,,,
Wolfsburg,26,28.3,,34,375,"3,060",34.0,39,26,65,36,3,3,96,4,1.15,0.76,1.91,1.06,1.82,26,34.0,96,4,,,,,,,,,,
