team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Alavés,25,25.4,44.4,38,418,"3,420",38.0,41,27,68,37,4,4,120,5,1.08,0.71,1.79,0.97,1.68,25,38.0,120,5,3,548,485,92,643,565,558,4,6,2
Athletic Club,25,26.8,51.1,38,418,"3,420",38.0,53,31,84,45,8,8,89,2,1.39,0.82,2.21,1.18,2.00,25,38.0,89,2,1,528,529,76,912,593,581,6,3,0
Atlético Madrid,22,26.9,48.4,38,418,"3,420",38.0,70,54,124,68,2,7,85,3,1.84,1.42,3.26,1.79,3.21,22,38.0,85,3,3,510,474,117,660,645,600,7,4,0
Barcelona,25,26.9,66.1,38,418,"3,420",38.0,113,71,184,105,8,9,75,1,2.97,1.87,4.84,2.76,4.63,25,38.0,75,1,1,427,577,118,551,445,463,8,0,2
Betis,27,26.1,47.9,38,418,"3,420",38.0,41,27,68,39,2,2,106,5,1.08,0.71,1.79,1.03,1.74,27,38.0,106,5,3,583,576,87,645,593,560,2,5,0
Celta Vigo,27,26.1,53.2,38,418,"3,420",38.0,52,33,85,45,7,7,111,8,1.37,0.87,2.24,1.18,2.05,27,38.0,111,8,6,516,516,101,481,627,550,6,10,2
Eibar,24,26.9,47.8,38,418,"3,420",38.0,53,34,87,47,6,8,96,7,1.39,0.89,2.29,1.24,2.13,24,38.0,96,7,2,522,385,92,920,676,526,6,6,1
Espanyol,27,27.2,44.0,38,418,"3,420",38.0,48,36,84,46,2,4,82,2,1.26,0.95,2.21,1.21,2.16,27,38.0,82,2,2,572,497,62,674,607,583,3,2,1
Granada,35,24.7,45.1,38,418,"3,420",38.0,30,19,49,30,0,1,116,6,0.79,0.50,1.29,0.79,1.29,35,38.0,116,6,4,559,442,62,623,620,477,1,4,1
La Coruña,28,27.7,47.0,38,418,"3,420",38.0,42,29,71,39,3,7,97,4,1.11,0.76,1.87,1.03,1.79,28,38.0,97,4,2,546,523,69,879,563,531,7,3,2
Las Palmas,29,27.3,59.0,38,418,"3,420",38.0,52,34,86,46,6,6,106,6,1.37,0.89,2.26,1.21,2.11,29,38.0,106,6,4,471,632,88,462,523,440,6,11,1
Leganés,31,26.3,44.7,38,418,"3,420",38.0,36,24,60,33,3,4,107,3,0.95,0.63,1.58,0.87,1.50,31,38.0,107,3,1,648,475,90,663,671,546,4,7,0
Málaga,29,26.0,48.4,38,418,"3,420",38.0,48,33,81,45,3,5,116,7,1.26,0.87,2.13,1.18,2.05,29,38.0,116,7,5,560,528,87,792,663,562,5,9,0
Osasuna,35,26.3,39.0,38,418,"3,420",38.0,37,24,61,33,4,6,100,3,0.97,0.63,1.61,0.87,1.50,35,38.0,100,3,1,574,415,76,648,677,545,5,10,3
Real Madrid,24,27.0,56.2,38,419,"3,420",38.0,106,83,189,100,6,8,76,2,2.79,2.18,4.97,2.63,4.82,24,38.0,76,2,0,434,544,137,857,517,572,5,4,1
Real Sociedad,27,26.0,56.7,38,418,"3,420",38.0,56,39,95,49,7,8,89,6,1.47,1.03,2.50,1.29,2.32,27,38.0,89,6,5,536,589,84,829,603,456,7,7,2
Sevilla,28,26.8,59.2,38,418,"3,420",38.0,67,48,115,64,3,5,109,4,1.76,1.26,3.03,1.68,2.95,28,38.0,109,4,2,589,524,126,661,522,521,5,5,1
Sporting Gijón,29,26.4,44.4,38,418,"3,420",38.0,42,26,68,38,4,7,116,4,1.11,0.68,1.79,1.00,1.68,29,38.0,116,4,2,574,498,78,676,552,517,7,9,2
Valencia,31,25.9,48.8,38,418,"3,420",38.0,53,38,91,49,4,6,114,6,1.39,1.00,2.39,1.29,2.29,31,38.0,114,6,3,556,569,90,668,628,621,5,13,2
Villarreal,27,26.7,49.3,38,418,"3,420",38.0,55,36,91,49,6,8,91,4,1.45,0.95,2.39,1.29,2.24,27,38.0,91,4,1,523,500,84,514,567,505,7,6,0
