team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Bari,23,24.7,,34,374,"3,060",34.0,34,19,53,31,3,3,72,3,1.00,0.56,1.56,0.91,1.47,23,34.0,72,3,,,,,,,,,,
Bologna,27,29.0,,34,394,"3,060",34.0,31,20,51,30,1,1,105,7,0.91,0.59,1.50,0.88,1.47,27,34.0,105,7,,,,,,,,,,
Cagliari,26,26.1,,34,370,"3,060",34.0,27,15,42,23,4,5,89,10,0.79,0.44,1.24,0.68,1.12,26,34.0,89,10,,,,,,,,,,
Fiorentina,24,28.3,,34,373,"3,060",34.0,48,37,85,48,0,1,72,4,1.41,1.09,2.50,1.41,2.50,24,34.0,72,4,,,,,,,,,,
Hellas Verona,27,25.7,,34,372,"3,060",34.0,39,25,64,37,2,2,63,6,1.15,0.74,1.88,1.09,1.82,27,34.0,63,6,,,,,,,,,,
Inter,26,27.8,,34,381,"3,060",34.0,58,40,98,55,3,4,61,3,1.71,1.18,2.88,1.62,2.79,26,34.0,61,3,,,,,,,,,,
Juventus,21,26.9,,34,374,"3,060",34.0,43,31,74,34,9,9,72,9,1.26,0.91,2.18,1.00,1.91,21,34.0,72,9,,,,,,,,,,
Lazio,23,27.8,,34,374,"3,060",34.0,63,39,102,55,8,9,66,3,1.85,1.15,3.00,1.62,2.76,23,34.0,66,3,,,,,,,,,,
Lecce,24,26.4,,34,373,"3,060",34.0,33,14,47,28,5,5,80,7,0.97,0.41,1.38,0.82,1.24,24,34.0,80,7,,,,,,,,,,
Milan,26,27.1,,34,375,"3,060",34.0,61,39,100,50,11,13,84,5,1.79,1.15,2.94,1.47,2.62,26,34.0,84,5,,,,,,,,,,
Parma,27,26.0,,34,360,"3,060",34.0,49,39,88,44,5,6,64,6,1.44,1.15,2.59,1.29,2.44,27,34.0,64,6,,,,,,,,,,
Perugia,26,28.0,,34,373,"3,060",34.0,35,19,54,32,3,4,60,7,1.03,0.56,1.59,0.94,1.50,26,34.0,60,7,,,,,,,,,,
Piacenza,28,27.7,,34,374,"3,060",34.0,19,10,29,15,4,7,83,9,0.56,0.29,0.85,0.44,0.74,28,34.0,83,9,,,,,,,,,,
Reggina,27,24.4,,34,361,"3,060",34.0,30,18,48,25,5,5,75,8,0.88,0.53,1.41,0.74,1.26,27,34.0,75,8,,,,,,,,,,
Roma,25,27.3,,34,374,"3,060",34.0,54,34,88,46,8,8,74,5,1.59,1.00,2.59,1.35,2.35,25,34.0,74,5,,,,,,,,,,
Torino,34,27.3,,34,374,"3,060",34.0,35,20,55,27,8,8,108,13,1.03,0.59,1.62,0.79,1.38,34,34.0,108,13,,,,,,,,,,
Udinese,28,24.9,,34,372,"3,060",34.0,53,41,94,51,2,4,71,1,1.56,1.21,2.76,1.50,2.71,28,34.0,71,1,,,,,,,,,,
Venezia,31,27.7,,34,365,"3,060",34.0,30,23,53,28,2,3,89,7,0.88,0.68,1.56,0.82,1.50,31,34.0,89,7,,,,,,,,,,
