team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Auxerre,26,25.8,,38,418,"3,420",38.0,32,19,51,30,2,4,64,3,0.84,0.50,1.34,0.79,1.29,26,38.0,64,3,,616,,,,,,,,
Bordeaux,22,27.1,,38,418,"3,420",38.0,64,31,95,58,6,8,75,5,1.68,0.82,2.50,1.53,2.34,22,38.0,75,5,,673,,,,,,,,
Caen,27,26.6,,38,418,"3,420",38.0,46,23,69,41,5,6,64,2,1.21,0.61,1.82,1.08,1.68,27,38.0,64,2,,674,,,,,,,,
Le Mans,27,23.5,,38,418,"3,420",38.0,46,25,71,43,3,4,67,6,1.21,0.66,1.87,1.13,1.79,27,38.0,67,6,,684,,,,,,,,
Lens,29,26.7,,38,418,"3,420",38.0,42,17,59,36,6,7,60,3,1.11,0.45,1.55,0.95,1.39,29,38.0,60,3,,590,,,,,,,,
Lille,32,24.7,,38,418,"3,420",38.0,44,22,66,38,6,6,65,4,1.16,0.58,1.74,1.00,1.58,32,38.0,65,4,,721,,,,,,,,
Lorient,24,27.1,,38,418,"3,420",38.0,31,17,48,28,3,4,39,0,0.82,0.45,1.26,0.74,1.18,24,38.0,39,0,,572,,,,,,,,
Lyon,27,26.4,,38,418,"3,420",38.0,72,49,121,69,3,3,59,3,1.89,1.29,3.18,1.82,3.11,27,38.0,59,3,,626,,,,,,,,
Marseille,31,24.9,,38,418,"3,420",38.0,58,33,91,57,1,2,58,3,1.53,0.87,2.39,1.50,2.37,31,38.0,58,3,,626,,,,,,,,
Metz,38,25.7,,38,418,"3,420",38.0,27,14,41,24,3,3,82,4,0.71,0.37,1.08,0.63,1.00,38,38.0,82,4,,694,,,,,,,,
Monaco,30,26.1,,38,418,"3,420",38.0,40,19,59,38,2,3,86,4,1.05,0.50,1.55,1.00,1.50,30,38.0,86,4,,767,,,,,,,,
Nancy,21,26.0,,38,418,"3,420",38.0,43,26,69,40,3,3,68,4,1.13,0.68,1.82,1.05,1.74,21,38.0,68,4,,703,,,,,,,,
Nice,25,27.3,,38,418,"3,420",38.0,34,21,55,30,4,7,72,2,0.89,0.55,1.45,0.79,1.34,25,38.0,72,2,,620,,,,,,,,
Paris S-G,27,26.3,,38,418,"3,420",38.0,36,18,54,33,3,4,57,0,0.95,0.47,1.42,0.87,1.34,27,38.0,57,0,,569,,,,,,,,
Rennes,29,26.5,,38,418,"3,420",38.0,45,27,72,45,0,1,60,2,1.18,0.71,1.89,1.18,1.89,29,38.0,60,2,,660,,,,,,,,
Saint-Étienne,23,24.6,,38,418,"3,420",38.0,45,26,71,41,4,4,70,4,1.18,0.68,1.87,1.08,1.76,23,38.0,70,4,,671,,,,,,,,
Sochaux,26,26.6,,38,418,"3,420",38.0,32,20,52,29,3,4,73,1,0.84,0.53,1.37,0.76,1.29,26,38.0,73,1,,679,,,,,,,,
Strasbourg,27,26.9,,38,418,"3,420",38.0,33,20,53,31,2,2,61,5,0.87,0.53,1.39,0.82,1.34,27,38.0,61,5,,671,,,,,,,,
Toulouse,26,26.0,,38,418,"3,420",38.0,35,18,53,34,1,1,78,6,0.92,0.47,1.39,0.89,1.37,26,38.0,78,6,,730,,,,,,,,
Valenciennes,22,27.0,,38,418,"3,420",38.0,40,21,61,38,2,2,55,7,1.05,0.55,1.61,1.00,1.55,22,38.0,55,7,,669,,,,,,,,
