team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ajaccio,30,26.8,,38,418,"3,420",38.0,26,15,41,25,1,1,71,2,0.68,0.39,1.08,0.66,1.05,30,38.0,71,2,,,,,,,,,,
Auxerre,24,26.7,,38,418,"3,420",38.0,49,32,81,45,4,4,47,2,1.29,0.84,2.13,1.18,2.03,24,38.0,47,2,,,,,,,,,,
Bordeaux,25,26.5,,38,418,"3,420",38.0,43,30,73,40,3,3,81,3,1.13,0.79,1.92,1.05,1.84,25,38.0,81,3,,,,,,,,,,
Le Mans,27,24.7,,38,417,"3,420",38.0,32,22,54,29,3,3,65,3,0.84,0.58,1.42,0.76,1.34,27,38.0,65,3,,,,,,,,,,
Lens,22,25.5,,38,418,"3,420",38.0,48,28,76,45,3,4,66,8,1.26,0.74,2.00,1.18,1.92,22,38.0,66,8,,,,,,,,,,
Lille,27,24.4,,38,418,"3,420",38.0,54,35,89,52,2,3,80,3,1.42,0.92,2.34,1.37,2.29,27,38.0,80,3,,,,,,,,,,
Lyon,24,26.6,,38,418,"3,420",38.0,72,48,120,70,2,2,65,1,1.89,1.26,3.16,1.84,3.11,24,38.0,65,1,,,,,,,,,,
Marseille,38,26.6,,38,415,"3,420",38.0,44,24,68,44,0,2,73,4,1.16,0.63,1.79,1.16,1.79,38,38.0,73,4,,,,,,,,,,
Metz,37,24.7,,38,418,"3,420",38.0,24,15,39,23,1,2,71,6,0.63,0.39,1.03,0.61,1.00,37,38.0,71,6,,,,,,,,,,
Monaco,31,26.2,,38,418,"3,420",38.0,42,28,70,41,1,3,82,8,1.11,0.74,1.84,1.08,1.82,31,38.0,82,8,,,,,,,,,,
Nancy,26,25.0,,38,418,"3,420",38.0,33,22,55,28,5,6,79,7,0.87,0.58,1.45,0.74,1.32,26,38.0,79,7,,,,,,,,,,
Nantes,28,24.4,,38,421,"3,420",38.0,37,25,62,36,1,3,73,4,0.97,0.66,1.63,0.95,1.61,28,38.0,73,4,,,,,,,,,,
Nice,24,26.5,,38,418,"3,420",38.0,35,24,59,33,2,2,79,3,0.92,0.63,1.55,0.87,1.50,24,38.0,79,3,,,,,,,,,,
Paris S-G,25,27.5,,38,418,"3,420",38.0,43,30,73,41,2,2,84,5,1.13,0.79,1.92,1.08,1.87,25,38.0,84,5,,,,,,,,,,
Rennes,25,23.8,,38,418,"3,420",38.0,47,32,79,45,2,2,68,3,1.24,0.84,2.08,1.18,2.03,25,38.0,68,3,,,,,,,,,,
Saint-Étienne,25,25.2,,38,418,"3,420",38.0,28,17,45,28,0,0,55,4,0.74,0.45,1.18,0.74,1.18,25,38.0,55,4,,,,,,,,,,
Sochaux,30,25.1,,38,417,"3,420",38.0,32,21,53,28,4,4,61,4,0.84,0.55,1.39,0.74,1.29,30,38.0,61,4,,,,,,,,,,
Strasbourg,31,24.9,,38,418,"3,420",38.0,30,19,49,25,5,5,62,7,0.79,0.50,1.29,0.66,1.16,31,38.0,62,7,,,,,,,,,,
Toulouse,26,25.3,,38,418,"3,420",38.0,36,17,53,36,0,1,64,2,0.95,0.45,1.39,0.95,1.39,26,38.0,64,2,,,,,,,,,,
Troyes,26,27.9,,38,418,"3,420",38.0,37,21,58,32,5,5,73,4,0.97,0.55,1.53,0.84,1.39,26,38.0,73,4,,,,,,,,,,
