team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arminia,26,25.8,40.7,34,374,"3,060",34.0,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,0.76,0.53,1.29,0.71,1.24,0.77,0.51,1.28,0.73,1.23,26,34.0,55,2,1,433,307,54,487,421,311,2,7,2,1907,658,734,47.3
Augsburg,26,26.6,41.5,34,374,"3,060",34.0,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,1.15,0.76,1.91,1.00,1.76,1.08,0.70,1.78,0.96,1.67,26,34.0,74,0,0,448,357,73,592,363,335,4,5,2,1927,557,604,48.0
Bayern Munich,30,26.8,64.5,34,374,"3,060",34.0,92,70,162,87,5,5,36,2,89.0,85.1,66.7,151.8,833,2164,2.71,2.06,4.76,2.56,4.62,2.62,1.96,4.58,2.50,4.46,30,34.0,36,2,0,305,354,76,656,349,338,1,2,1,2220,422,394,51.7
Bochum,28,28.0,44.7,34,374,"3,060",34.0,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,1.09,0.65,1.74,0.97,1.62,1.19,0.78,1.98,1.06,1.84,28,34.0,55,2,0,424,391,75,600,429,353,4,8,4,2088,609,599,50.4
Dortmund,33,25.9,59.2,34,374,"3,060",34.0,81,57,138,70,11,11,63,1,64.0,55.9,45.0,100.8,670,1468,2.38,1.68,4.06,2.06,3.74,1.88,1.32,3.21,1.64,2.97,33,34.0,63,1,1,362,398,73,491,347,322,6,6,2,2052,419,363,53.6
Eint Frankfurt,27,26.2,49.6,34,374,"3,060",34.0,43,33,76,42,1,2,61,1,41.6,40.1,32.0,72.1,609,1255,1.26,0.97,2.24,1.24,2.21,1.22,0.94,2.16,1.18,2.12,27,34.0,61,1,1,422,299,53,697,377,330,1,4,1,2251,552,644,46.2
Freiburg,26,26.5,49.0,34,374,"3,060",34.0,55,37,92,50,5,6,34,0,50.4,45.7,34.5,80.2,401,1229,1.62,1.09,2.71,1.47,2.56,1.48,1.01,2.50,1.35,2.36,26,34.0,34,0,0,392,375,58,633,355,299,4,2,1,1920,675,638,51.4
Gladbach,26,26.0,54.0,34,374,"3,060",34.0,54,38,92,49,5,7,67,1,56.2,50.6,37.8,88.4,527,1291,1.59,1.12,2.71,1.44,2.56,1.65,1.11,2.76,1.49,2.60,26,34.0,67,1,0,359,472,73,440,326,345,6,5,0,1850,464,419,52.5
Greuther Fürth,29,25.9,43.6,34,374,"3,060",34.0,26,15,41,21,5,5,61,0,30.0,26.2,18.8,44.9,413,976,0.76,0.44,1.21,0.62,1.06,0.88,0.55,1.43,0.77,1.32,29,34.0,61,0,0,437,434,69,478,374,336,3,6,5,1878,468,602,43.7
Hertha BSC,36,26.7,43.7,34,374,"3,060",34.0,35,23,58,32,3,3,62,2,33.3,30.9,25.0,55.9,462,975,1.03,0.68,1.71,0.94,1.62,0.98,0.73,1.71,0.91,1.64,36,34.0,62,2,0,421,430,73,505,406,321,3,8,0,1830,556,575,49.2
Hoffenheim,32,26.1,53.2,34,374,"3,060",34.0,55,42,97,55,0,0,75,0,58.3,58.3,46.8,105.1,588,1474,1.62,1.24,2.85,1.62,2.85,1.71,1.38,3.09,1.71,3.09,32,34.0,75,0,0,429,348,70,703,285,291,0,4,1,1905,485,574,45.8
