team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,27,26.6,45.7,34,374,"3,060",34.0,41,30,71,37,4,4,68,,44.7,41.6,32.3,73.9,524,1117,1.21,0.88,2.09,1.09,1.97,1.32,0.95,2.27,1.22,2.17,27,34.0,68,,1,490,411,70,757,400,543,4,3,0,1616,700,774,47.5
Bayern Munich,28,27.4,66.1,34,374,"3,060",34.0,90,72,162,84,6,8,42,,75.8,69.8,58.8,128.5,755,2333,2.65,2.12,4.76,2.47,4.59,2.23,1.73,3.96,2.05,3.78,28,34.0,42,,0,366,413,67,893,355,467,7,4,3,1687,518,448,53.6
Dortmund,30,25.9,59.1,34,374,"3,060",34.0,62,44,106,59,3,6,41,,66.0,61.4,48.9,110.3,733,1712,1.82,1.29,3.12,1.74,3.03,1.94,1.44,3.38,1.81,3.24,30,34.0,41,,1,403,422,83,585,336,510,4,3,0,1472,580,516,52.9
Eint Frankfurt,28,26.4,47.9,34,374,"3,060",34.0,44,34,78,42,2,2,72,,42.2,40.9,30.7,71.6,492,1292,1.29,1.00,2.29,1.24,2.24,1.24,0.90,2.14,1.20,2.11,28,34.0,72,,0,526,453,85,586,409,483,2,3,2,1576,676,708,48.8
Freiburg,29,24.8,44.8,34,374,"3,060",34.0,32,21,53,26,6,10,56,,39.6,31.7,25.0,56.8,399,1061,0.94,0.62,1.56,0.76,1.38,1.16,0.74,1.90,0.93,1.67,29,34.0,56,,3,446,429,40,471,392,465,8,5,4,1292,707,771,47.8
Gladbach,27,25.7,52.0,34,374,"3,060",34.0,46,26,72,40,6,7,47,,51.1,45.8,35.0,80.8,578,1385,1.35,0.76,2.12,1.18,1.94,1.50,1.03,2.53,1.35,2.38,27,34.0,47,,0,398,411,73,490,384,488,5,4,1,1428,516,504,50.6
Hamburger SV,29,25.0,49.0,34,374,"3,060",34.0,28,18,46,25,3,5,63,,37.7,33.8,24.1,58.0,568,1283,0.82,0.53,1.35,0.74,1.26,1.11,0.71,1.82,0.99,1.70,29,34.0,63,,3,499,467,61,668,367,543,3,4,1,1631,678,778,46.6
Hannover 96,26,26.4,46.9,34,374,"3,060",34.0,44,26,70,40,4,5,63,,44.6,40.6,30.7,71.4,472,1237,1.29,0.76,2.06,1.18,1.94,1.31,0.90,2.22,1.20,2.10,26,34.0,63,,0,487,503,53,579,382,490,5,4,0,1502,787,681,53.6
Hertha BSC,25,26.4,46.1,34,374,"3,060",34.0,43,32,75,39,4,5,49,,39.2,35.3,27.8,63.1,426,1219,1.26,0.94,2.21,1.15,2.09,1.15,0.82,1.97,1.04,1.86,25,34.0,49,,0,494,465,47,528,386,488,5,7,1,1321,665,667,49.9
Hoffenheim,26,25.0,51.2,34,374,"3,060",34.0,64,47,111,60,4,5,71,,50.5,46.6,36.6,83.2,644,1351,1.88,1.38,3.26,1.76,3.15,1.48,1.08,2.56,1.37,2.45,26,34.0,71,,0,506,438,78,592,345,516,5,4,2,1513,441,479,47.9
Köln,31,25.3,47.4,34,374,"3,060",34.0,33,24,57,30,3,3,70,,43.2,41.0,29.8,70.8,507,1331,0.97,0.71,1.68,0.88,1.59,1.27,0.88,2.15,1.21,2.08,31,34.0,70,,1,479,478,81,663,389,502,2,9,0,1593,643,649,49.8
Leverkusen,24,24.0,54.6,34,374,"3,060",34.0,58,46,104,55,3,5,57,,57.5,53.6,42.4,95.9,696,1661,1.71,1.35,3.06,1.62,2.97,1.69,1.25,2.94,1.58,2.82,24,34.0,57,,1,451,485,58,658,390,482,4,6,0,1717,552,618,47.2
Mainz 05,27,25.3,44.4,34,374,"3,060",34.0,38,27,65,34,4,4,63,,35.4,32.3,25.5,57.8,484,1116,1.12,0.79,1.91,1.00,1.79,1.04,0.75,1.79,0.95,1.70,27,34.0,63,,2,531,435,67,546,402,522,3,7,1,1512,683,657,51.0
RB Leipzig,23,23.4,55.0,34,374,"3,060",34.0,57,43,100,53,4,5,48,,51.9,48.0,39.6,87.6,778,1591,1.68,1.26,2.94,1.56,2.82,1.53,1.17,2.69,1.41,2.58,23,34.0,48,,3,452,485,87,521,397,509,4,5,0,1700,638,544,54.0
Schalke 04,24,26.1,46.6,34,374,"3,060",34.0,50,33,83,40,10,10,66,,46.7,38.9,31.4,70.3,776,1248,1.47,0.97,2.44,1.18,2.15,1.37,0.92,2.30,1.14,2.07,24,34.0,66,,1,549,504,81,583,498,534,9,6,1,1871,558,510,52.2
