team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arsenal,25,27.3,,38,431,"3,420",38.0,79,54,133,73,6,7,81,6,2.08,1.42,3.50,1.92,3.34,25,38.0,81,6,,539,,,,,,,,
Aston Villa,23,27.2,,38,410,"3,420",38.0,44,38,82,42,2,2,42,2,1.16,1.00,2.16,1.11,2.11,23,38.0,42,2,,485,,,,,,,,
Blackburn,27,27.2,,38,416,"3,420",38.0,54,39,93,53,1,1,58,4,1.42,1.03,2.45,1.39,2.42,27,38.0,58,4,,533,,,,,,,,
Bolton,30,28.6,,38,407,"3,420",38.0,42,25,67,42,0,1,58,6,1.11,0.66,1.76,1.11,1.76,30,38.0,58,6,,506,,,,,,,,
Charlton Ath,25,26.6,,38,418,"3,420",38.0,36,25,61,36,0,1,61,3,0.95,0.66,1.61,0.95,1.61,25,38.0,61,3,,500,,,,,,,,
Chelsea,25,26.8,,38,411,"3,420",38.0,65,43,108,62,3,3,71,2,1.71,1.13,2.84,1.63,2.76,25,38.0,71,2,,438,,,,,,,,
Derby County,34,25.8,,38,409,"3,420",38.0,33,23,56,31,2,5,70,2,0.87,0.61,1.47,0.82,1.42,34,38.0,70,2,,498,,,,,,,,
Everton,28,28.0,,38,401,"3,420",38.0,44,31,75,41,3,3,62,4,1.16,0.82,1.97,1.08,1.89,28,38.0,62,4,,584,,,,,,,,
Fulham,24,27.7,,38,415,"3,420",38.0,35,28,63,34,1,3,51,1,0.92,0.74,1.66,0.89,1.63,24,38.0,51,1,,452,,,,,,,,
Ipswich Town,26,27.2,,38,410,"3,420",38.0,41,32,73,40,1,3,42,1,1.08,0.84,1.92,1.05,1.89,26,38.0,42,1,,471,,,,,,,,
Leeds United,21,26.0,,38,433,"3,420",38.0,54,46,100,53,1,2,74,5,1.42,1.21,2.63,1.39,2.61,21,38.0,74,5,,583,,,,,,,,
Leicester City,33,27.1,,38,415,"3,420",38.0,29,21,50,27,2,4,76,3,0.76,0.55,1.32,0.71,1.26,33,38.0,76,3,,558,,,,,,,,
Liverpool,27,25.5,,38,418,"3,420",38.0,63,51,114,62,1,3,43,2,1.66,1.34,3.00,1.63,2.97,27,38.0,43,2,,439,,,,,,,,
Manchester Utd,28,27.5,,38,402,"3,420",38.0,81,56,137,76,5,5,52,1,2.13,1.47,3.61,2.00,3.47,28,38.0,52,1,,426,,,,,,,,
Middlesbrough,35,28.2,,38,409,"3,420",38.0,33,21,54,31,2,3,54,7,0.87,0.55,1.42,0.82,1.37,35,38.0,54,7,,470,,,,,,,,
Newcastle Utd,24,25.9,,38,390,"3,420",38.0,72,53,125,67,5,7,47,2,1.89,1.39,3.29,1.76,3.16,24,38.0,47,2,,497,,,,,,,,
Southampton,30,27.5,,38,390,"3,420",38.0,42,30,72,38,4,4,34,3,1.11,0.79,1.89,1.00,1.79,30,38.0,34,3,,466,,,,,,,,
Sunderland,26,26.5,,38,415,"3,420",38.0,29,19,48,28,1,3,67,1,0.76,0.50,1.26,0.74,1.24,26,38.0,67,1,,509,,,,,,,,
Tottenham,24,28.7,,38,411,"3,420",38.0,48,33,81,45,3,3,59,4,1.26,0.87,2.13,1.18,2.05,24,38.0,59,4,,465,,,,,,,,
West Ham,28,27.4,,38,419,"3,420",38.0,48,34,82,44,4,5,68,3,1.26,0.89,2.16,1.16,2.05,28,38.0,68,3,,497,,,,,,,,
