team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Atalanta,28,27.2,,34,380,"3,060",34.0,34,24,58,31,3,3,69,4,1.00,0.71,1.71,0.91,1.62,28,34.0,69,4,,679,,,,,,,,
Bologna,23,28.8,,34,374,"3,060",34.0,39,21,60,31,8,8,72,3,1.15,0.62,1.76,0.91,1.53,23,34.0,72,3,,749,,,,,,,,
Brescia,26,26.5,,34,376,"3,060",34.0,35,23,58,29,6,9,73,6,1.03,0.68,1.71,0.85,1.53,26,34.0,73,6,,820,,,,,,,,
Chievo,27,27.3,,34,367,"3,060",34.0,51,35,86,46,5,5,79,4,1.50,1.03,2.53,1.35,2.38,27,34.0,79,4,,701,,,,,,,,
Como,30,28.6,,34,362,"3,060",34.0,27,18,45,26,1,3,64,2,0.79,0.53,1.32,0.76,1.29,30,34.0,64,2,,734,,,,,,,,
Empoli,23,26.0,,34,374,"3,060",34.0,35,26,61,34,1,1,66,1,1.03,0.76,1.79,1.00,1.76,23,34.0,66,1,,660,,,,,,,,
Inter,30,27.5,,34,374,"3,060",34.0,63,41,104,59,4,4,61,7,1.85,1.21,3.06,1.74,2.94,30,34.0,61,7,,684,,,,,,,,
Juventus,26,28.1,,34,363,"3,060",34.0,58,46,104,49,9,10,40,3,1.71,1.35,3.06,1.44,2.79,26,34.0,40,3,,649,,,,,,,,
Lazio,26,28.8,,34,381,"3,060",34.0,57,44,101,51,6,8,58,3,1.68,1.29,2.97,1.50,2.79,26,34.0,58,3,,729,,,,,,,,
Milan,35,27.8,,34,364,"3,060",34.0,52,35,87,42,10,14,46,2,1.53,1.03,2.56,1.24,2.26,35,34.0,46,2,,625,,,,,,,,
Modena,24,28.3,,34,379,"3,060",34.0,30,23,53,26,4,5,80,5,0.88,0.68,1.56,0.76,1.44,24,34.0,80,5,,743,,,,,,,,
Parma,22,24.9,,34,366,"3,060",34.0,54,32,86,50,4,4,55,3,1.59,0.94,2.53,1.47,2.41,22,34.0,55,3,,809,,,,,,,,
Perugia,26,26.7,,34,376,"3,060",34.0,40,24,64,35,5,6,81,3,1.18,0.71,1.88,1.03,1.74,26,34.0,81,3,,687,,,,,,,,
Piacenza,31,28.0,,34,364,"3,060",34.0,44,28,72,42,2,5,66,3,1.29,0.82,2.12,1.24,2.06,31,34.0,66,3,,686,,,,,,,,
Reggina,25,25.8,,34,376,"3,060",34.0,38,22,60,31,7,8,59,2,1.12,0.65,1.76,0.91,1.56,25,34.0,59,2,,724,,,,,,,,
Roma,29,27.8,,34,372,"3,060",34.0,53,38,91,50,3,5,71,9,1.56,1.12,2.68,1.47,2.59,29,34.0,71,9,,846,,,,,,,,
Torino,30,27.2,,34,361,"3,060",34.0,20,12,32,18,2,3,66,8,0.59,0.35,0.94,0.53,0.88,30,34.0,66,8,,697,,,,,,,,
Udinese,24,25.9,,34,364,"3,060",34.0,36,22,58,29,7,8,66,7,1.06,0.65,1.71,0.85,1.50,24,34.0,66,7,,719,,,,,,,,
