team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,32,27.1,55.3,38,418,"3,420",38.0,76,54,130,71,5,7,67,1,65.0,59.5,46.9,106.4,897,1824,2.00,1.42,3.42,1.87,3.29,1.71,1.23,2.94,1.57,2.80,32,38.0,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4
Bologna,30,26.4,58.1,38,418,"3,420",38.0,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79.0,639,1468,1.47,1.13,2.61,1.32,2.45,1.30,0.93,2.22,1.15,2.08,30,38.0,61,4,1,537,604,63,756,258,346,6,3,2,1516,579,616,48.5
Cagliari,28,26.6,44.9,38,418,"3,420",38.0,38,31,69,35,3,3,68,3,42.7,40.3,32.0,72.4,506,1150,1.00,0.82,1.82,0.92,1.74,1.12,0.84,1.97,1.06,1.90,28,38.0,68,3,3,500,397,65,758,276,303,2,6,0,1522,606,600,50.2
Como,38,26.3,54.6,38,418,"3,420",38.0,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377,1.16,1.03,2.18,1.16,2.18,1.20,0.96,2.16,1.16,2.12,38,38.0,87,7,3,503,518,65,568,279,412,1,7,0,1547,472,487,49.2
Empoli,34,25.4,41.7,38,418,"3,420",38.0,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013,0.82,0.55,1.37,0.76,1.32,0.86,0.60,1.46,0.79,1.40,34,38.0,68,5,2,570,459,57,620,323,396,3,3,1,1480,577,710,44.8
Fiorentina,34,26.3,51.0,38,418,"3,420",38.0,58,39,97,52,6,8,82,3,48.9,42.6,35.1,77.7,620,1240,1.53,1.03,2.55,1.37,2.39,1.29,0.92,2.21,1.12,2.04,34,38.0,82,3,2,440,550,88,588,275,313,6,3,1,1436,508,487,51.1
Genoa,37,26.2,45.6,38,418,"3,420",38.0,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,0.92,0.71,1.63,0.92,1.63,0.98,0.71,1.68,0.93,1.64,37,38.0,71,1,0,497,448,55,663,308,385,1,8,3,1481,666,696,48.9
Hellas Verona,32,25.1,38.7,38,418,"3,420",38.0,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,0.82,0.53,1.34,0.76,1.29,0.89,0.65,1.54,0.85,1.50,32,38.0,98,9,5,579,352,55,562,329,434,1,4,1,1427,671,699,49.0
Inter,26,29.4,59.4,38,418,"3,420",38.0,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,2.00,1.50,3.50,1.79,3.29,1.76,1.27,3.03,1.58,2.85,26,38.0,56,1,1,417,405,90,751,227,288,6,4,1,1440,604,419,59.0
Juventus,29,24.6,57.2,38,418,"3,420",38.0,56,40,96,50,6,6,67,3,51.0,46.3,35.9,82.2,810,1561,1.47,1.05,2.53,1.32,2.37,1.34,0.94,2.29,1.22,2.16,29,38.0,67,3,1,480,378,52,630,215,353,3,5,0,1516,458,461,49.8
Lazio,27,27.1,55.1,38,418,"3,420",38.0,60,43,103,54,6,7,93,7,57.2,52.0,38.5,90.4,774,1588,1.58,1.13,2.71,1.42,2.55,1.51,1.01,2.52,1.37,2.38,27,38.0,93,7,3,425,484,46,864,295,319,4,4,2,1439,473,491,49.1
Lecce,31,26.1,43.8,38,418,"3,420",38.0,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071,0.71,0.55,1.26,0.63,1.18,0.91,0.65,1.56,0.84,1.48,31,38.0,61,7,1,466,427,52,628,285,372,2,10,3,1484,676,651,50.9
Milan,35,25.6,53.9,38,418,"3,420",38.0,59,43,102,55,4,8,70,6,63.7,57.5,46.8,104.4,915,1589,1.55,1.13,2.68,1.45,2.58,1.68,1.23,2.91,1.51,2.75,35,38.0,70,6,1,415,428,60,634,234,349,7,2,3,1397,434,391,52.6
Monza,36,26.8,48.5,38,418,"3,420",38.0,27,18,45,24,3,3,90,3,29.9,27.7,20.9,48.6,533,1096,0.71,0.47,1.18,0.63,1.11,0.79,0.55,1.34,0.73,1.28,36,38.0,90,3,2,512,529,54,656,305,315,0,4,3,1299,567,605,48.4
Napoli,27,28.6,54.6,38,418,"3,420",38.0,56,42,98,52,4,5,47,0,52.9,49.1,39.1,88.2,739,1546,1.47,1.11,2.58,1.37,2.47,1.39,1.03,2.42,1.29,2.32,27,38.0,47,0,0,415,445,55,681,270,323,4,4,2,1435,530,460,53.5
Parma,32,23.8,44.2,38,418,"3,420",38.0,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,1.13,0.82,1.95,0.97,1.79,1.13,0.77,1.90,0.99,1.76,32,38.0,78,6,3,405,458,31,427,279,293,5,5,2,1365,499,502,49.9
Roma,28,26.5,53.9,38,418,"3,420",38.0,55,35,90,47,8,8,66,1,53.0,46.7,35.0,81.7,691,1501,1.45,0.92,2.37,1.24,2.16,1.39,0.92,2.32,1.23,2.15,28,38.0,66,1,1,405,484,59,636,282,328,6,4,1,1437,441,476,48.1
Torino,31,26.7,47.5,38,418,"3,420",38.0,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54.0,529,1113,0.95,0.55,1.50,0.89,1.45,0.91,0.59,1.50,0.83,1.42,31,38.0,80,3,1,483,386,57,675,278,261,2,7,2,1296,538,564,48.8
Udinese,31,26.4,47.2,38,418,"3,420",38.0,41,28,69,39,2,4,88,5,38.2,35.0,27.2,62.1,566,1160,1.08,0.74,1.82,1.03,1.76,1.01,0.71,1.72,0.92,1.64,31,38.0,88,5,3,543,379,50,679,302,346,2,8,5,1426,550,493,52.7
Venezia,36,25.4,45.1,38,418,"3,420",38.0,31,16,47,27,4,5,75,2,35.8,32.0,22.2,54.2,507,1066,0.82,0.42,1.24,0.71,1.13,0.94,0.58,1.53,0.84,1.43,36,38.0,75,2,2,503,451,58,529,279,361,4,11,3,1450,490,626,43.9
