team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arsenal,32,25.2,,38,418,"3,420",38.0,73,57,130,71,2,3,70,4,1.92,1.50,3.42,1.87,3.37,32,38.0,70,4,,405,,,,,,,,
Aston Villa,27,27.3,,38,418,"3,420",38.0,37,26,63,34,3,3,71,2,0.97,0.68,1.66,0.89,1.58,27,38.0,71,2,,415,,,,,,,,
Blackburn,31,25.5,,38,418,"3,420",38.0,44,32,76,40,4,8,69,5,1.16,0.84,2.00,1.05,1.89,31,38.0,69,5,,442,,,,,,,,
Bolton,30,27.4,,38,418,"3,420",38.0,43,29,72,38,5,6,52,5,1.13,0.76,1.89,1.00,1.76,30,38.0,52,5,,448,,,,,,,,
Chelsea,29,27.6,,38,418,"3,420",38.0,63,45,108,59,4,5,76,4,1.66,1.18,2.84,1.55,2.74,29,38.0,76,4,,419,,,,,,,,
Everton,30,28.5,,38,407,"3,420",38.0,47,32,79,42,5,5,61,2,1.24,0.84,2.08,1.11,1.95,30,38.0,61,2,,452,,,,,,,,
Fulham,28,29.6,,38,418,"3,420",38.0,44,31,75,41,3,4,54,0,1.16,0.82,1.97,1.08,1.89,28,38.0,54,0,,370,,,,,,,,
Liverpool,26,26.3,,38,418,"3,420",38.0,42,23,65,41,1,4,58,5,1.11,0.61,1.71,1.08,1.68,26,38.0,58,5,,390,,,,,,,,
Manchester City,24,25.8,,38,418,"3,420",38.0,91,73,164,84,7,8,59,5,2.39,1.92,4.32,2.21,4.13,24,38.0,59,5,,422,,,,,,,,
Manchester Utd,31,26.3,,38,418,"3,420",38.0,87,69,156,78,9,11,51,1,2.29,1.82,4.11,2.05,3.87,31,38.0,51,1,,378,,,,,,,,
Newcastle Utd,26,25.6,,38,418,"3,420",38.0,51,36,87,49,2,3,67,2,1.34,0.95,2.29,1.29,2.24,26,38.0,67,2,,405,,,,,,,,
Norwich City,27,25.8,,38,418,"3,420",38.0,52,33,85,50,2,2,60,3,1.37,0.87,2.24,1.32,2.18,27,38.0,60,3,,399,,,,,,,,
QPR,35,28.8,,38,418,"3,420",38.0,41,25,66,39,2,2,59,9,1.08,0.66,1.74,1.03,1.68,35,38.0,59,9,,405,,,,,,,,
Stoke City,23,27.9,,38,418,"3,420",38.0,35,28,63,31,4,6,60,2,0.92,0.74,1.66,0.82,1.55,23,38.0,60,2,,446,,,,,,,,
Sunderland,28,25.8,,38,418,"3,420",38.0,43,25,68,42,1,2,62,4,1.13,0.66,1.79,1.11,1.76,28,38.0,62,4,,396,,,,,,,,
Swansea City,25,25.4,,38,418,"3,420",38.0,43,24,67,38,5,6,41,2,1.13,0.63,1.76,1.00,1.63,25,38.0,41,2,,313,,,,,,,,
Tottenham,29,27.6,,38,418,"3,420",38.0,66,48,114,62,4,5,47,3,1.74,1.26,3.00,1.63,2.89,29,38.0,47,3,,381,,,,,,,,
West Brom,25,27.8,,38,418,"3,420",38.0,44,30,74,43,1,2,48,1,1.16,0.79,1.95,1.13,1.92,25,38.0,48,1,,421,,,,,,,,
Wigan Athletic,23,26.3,,38,418,"3,420",38.0,41,22,63,36,5,7,69,3,1.08,0.58,1.66,0.95,1.53,23,38.0,69,3,,468,,,,,,,,
Wolves,32,26.0,,38,418,"3,420",38.0,40,25,65,37,3,4,64,4,1.05,0.66,1.71,0.97,1.63,32,38.0,64,4,,364,,,,,,,,
