team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Augsburg,25,27.6,52.3,34,374,"3,060",34.0,43,29,72,36,7,9,63,0,1.26,0.85,2.12,1.06,1.91,25,34.0,63,0,,533,,,,,,,,
Bayern Munich,28,26.6,70.4,34,374,"3,060",34.0,78,49,127,72,6,6,37,0,2.29,1.44,3.74,2.12,3.56,28,34.0,37,0,,393,,,,,,,,
Dortmund,28,26.5,55.3,34,374,"3,060",34.0,46,39,85,44,2,3,54,,1.35,1.15,2.50,1.29,2.44,28,34.0,54,,,436,,,,,,,,
Eint Frankfurt,26,25.9,49.5,34,374,"3,060",34.0,54,33,87,51,3,4,89,0,1.59,0.97,2.56,1.50,2.47,26,34.0,89,0,,544,,,,,,,,
Freiburg,27,25.1,48.4,34,374,"3,060",34.0,36,26,62,30,6,9,66,0,1.06,0.76,1.82,0.88,1.65,27,34.0,66,0,,481,,,,,,,,
Gladbach,19,25.7,53.5,34,374,"3,060",34.0,53,39,92,50,3,3,56,0,1.56,1.15,2.71,1.47,2.62,19,34.0,56,0,,400,,,,,,,,
Hamburger SV,31,27.3,46.8,34,374,"3,060",34.0,22,15,37,19,3,3,89,0,0.65,0.44,1.09,0.56,1.00,31,34.0,89,0,,590,,,,,,,,
Hannover 96,25,26.0,51.3,34,374,"3,060",34.0,38,26,64,36,2,3,83,0,1.12,0.76,1.88,1.06,1.82,25,34.0,83,0,,545,,,,,,,,
Hertha BSC,26,26.2,40.5,34,374,"3,060",34.0,35,18,53,31,4,4,78,0,1.03,0.53,1.56,0.91,1.44,26,34.0,78,0,,575,,,,,,,,
Hoffenheim,23,24.8,49.0,34,374,"3,060",34.0,48,33,81,44,4,5,68,0,1.41,0.97,2.38,1.29,2.26,23,34.0,68,0,,577,,,,,,,,
Köln,23,25.1,42.8,34,374,"3,060",34.0,33,20,53,29,4,4,48,0,0.97,0.59,1.56,0.85,1.44,23,34.0,48,0,,392,,,,,,,,
Leverkusen,22,24.9,51.7,34,374,"3,060",34.0,62,36,98,62,0,1,80,0,1.82,1.06,2.88,1.82,2.88,22,34.0,80,0,,577,,,,,,,,
Mainz 05,29,25.3,48.9,34,374,"3,060",34.0,44,26,70,39,5,5,52,0,1.29,0.76,2.06,1.15,1.91,29,34.0,52,0,,472,,,,,,,,
Paderborn 07,24,26.8,43.2,34,374,"3,060",34.0,30,21,51,29,1,1,53,0,0.88,0.62,1.50,0.85,1.47,24,34.0,53,0,,465,,,,,,,,
Schalke 04,29,25.2,51.1,34,374,"3,060",34.0,40,29,69,38,2,3,68,0,1.18,0.85,2.03,1.12,1.97,29,34.0,68,0,,503,,,,,,,,
Stuttgart,24,24.9,47.5,34,374,"3,060",34.0,41,29,70,40,1,1,64,0,1.21,0.85,2.06,1.18,2.03,24,34.0,64,0,,492,,,,,,,,
Werder Bremen,31,25.7,43.4,34,374,"3,060",34.0,49,36,85,45,4,5,70,0,1.44,1.06,2.50,1.32,2.38,31,34.0,70,0,,556,,,,,,,,
Wolfsburg,22,26.1,54.9,34,374,"3,060",34.0,71,50,121,68,3,4,45,0,2.09,1.47,3.56,2.00,3.47,22,34.0,45,0,,430,,,,,,,,
