team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ajaccio,36,29.1,43.2,38,418,"3,420",38.0,22,12,34,16,6,9,86,10,36.1,29.5,22.8,52.3,487,1169,0.58,0.32,0.89,0.42,0.74,0.95,0.60,1.55,0.78,1.38,36,38.0,86,10,2,541,495,63,631,420,382,8,10,2,2053,602,711,45.8
Angers,33,25.7,46.9,38,418,"3,420",38.0,31,18,49,27,4,4,69,5,40.9,37.8,28.0,65.7,632,1393,0.82,0.47,1.29,0.71,1.18,1.08,0.74,1.81,0.99,1.73,33,38.0,69,5,3,492,422,47,584,375,386,4,11,4,2025,436,441,49.7
Auxerre,33,27.3,43.3,38,418,"3,420",38.0,32,17,49,25,7,9,54,6,42.8,35.8,27.3,63.1,531,1284,0.84,0.45,1.29,0.66,1.11,1.13,0.72,1.84,0.94,1.66,33,38.0,54,6,4,462,419,48,617,454,378,6,6,1,2078,487,566,46.2
Brest,29,26.6,44.9,38,418,"3,420",38.0,43,28,71,36,7,8,63,2,43.4,37.1,29.5,66.7,592,1311,1.13,0.74,1.87,0.95,1.68,1.14,0.78,1.92,0.98,1.75,29,38.0,63,2,0,499,462,59,755,475,417,7,9,2,2115,633,569,52.7
Clermont Foot,28,27.2,48.3,38,418,"3,420",38.0,44,26,70,37,7,10,72,5,47.5,39.6,27.7,67.4,532,1304,1.16,0.68,1.84,0.97,1.66,1.25,0.73,1.98,1.04,1.77,28,38.0,72,5,2,426,592,52,564,440,398,7,12,0,2051,410,427,49.0
Lens,29,26.4,55.6,38,418,"3,420",38.0,66,49,115,60,6,9,63,3,66.7,59.8,47.4,107.2,738,1829,1.74,1.29,3.03,1.58,2.87,1.76,1.25,3.00,1.57,2.82,29,38.0,63,3,0,492,481,62,791,339,323,7,3,1,1975,406,369,52.4
Lille,26,26.0,60.5,38,418,"3,420",38.0,65,40,105,54,11,12,82,1,68.7,60.0,46.4,106.5,798,1982,1.71,1.05,2.76,1.42,2.47,1.81,1.22,3.03,1.58,2.80,26,38.0,82,1,0,497,480,64,624,301,370,10,5,3,2138,440,463,48.7
Lorient,30,25.2,46.6,38,418,"3,420",38.0,49,32,81,45,4,6,48,4,44.5,39.8,29.4,69.2,753,1329,1.29,0.84,2.13,1.18,2.03,1.17,0.77,1.94,1.05,1.82,30,38.0,48,4,3,397,501,49,434,369,420,5,2,1,2019,407,479,45.9
Lyon,29,25.5,58.1,38,418,"3,420",38.0,63,45,108,57,6,8,61,3,61.1,54.8,45.1,99.9,709,1883,1.66,1.18,2.84,1.50,2.68,1.61,1.19,2.80,1.44,2.63,29,38.0,61,3,1,500,453,57,649,481,423,5,11,3,2144,452,438,50.8
Marseille,30,27.3,56.7,38,418,"3,420",38.0,61,38,99,55,6,7,63,4,65.3,60.0,47.0,107.0,759,1919,1.61,1.00,2.61,1.45,2.45,1.72,1.24,2.95,1.58,2.82,30,38.0,63,4,1,533,419,68,751,420,404,3,5,3,2291,491,484,50.4
Monaco,27,24.7,48.2,38,418,"3,420",38.0,69,47,116,64,5,8,64,5,62.1,55.7,42.2,97.9,719,1820,1.82,1.24,3.05,1.68,2.92,1.63,1.11,2.74,1.47,2.58,27,38.0,64,5,3,488,411,84,661,426,400,8,5,3,2203,515,457,53.0
Montpellier,31,26.0,45.8,38,418,"3,420",38.0,64,41,105,57,7,7,68,10,52.2,46.7,34.3,80.9,556,1250,1.68,1.08,2.76,1.50,2.58,1.37,0.90,2.27,1.23,2.13,31,38.0,68,10,1,488,523,71,673,404,413,6,11,2,2095,480,553,46.5
Nantes,29,26.7,45.9,38,418,"3,420",38.0,35,27,62,32,3,5,65,4,42.8,39.0,31.8,70.8,705,1565,0.92,0.71,1.63,0.84,1.55,1.13,0.84,1.96,1.03,1.86,29,38.0,65,4,2,481,414,54,820,431,431,3,9,4,2075,592,598,49.7
Nice,34,26.5,51.5,38,418,"3,420",38.0,47,32,79,41,6,7,53,3,57.2,51.7,39.3,91.1,774,1534,1.24,0.84,2.08,1.08,1.92,1.51,1.04,2.54,1.36,2.40,34,38.0,53,3,1,383,376,51,690,413,467,5,5,0,2143,392,365,51.8
Paris S-G,26,26.9,60.7,38,418,"3,420",38.0,86,62,148,81,5,7,57,5,78.2,72.6,56.8,129.3,810,2029,2.26,1.63,3.89,2.13,3.76,2.06,1.49,3.55,1.91,3.40,26,38.0,57,5,2,380,416,77,399,296,362,5,5,1,1938,245,201,54.9
Reims,34,24.9,48.7,38,418,"3,420",38.0,45,31,76,38,7,8,70,9,61.5,55.2,43.4,98.6,712,1717,1.18,0.82,2.00,1.00,1.82,1.62,1.14,2.76,1.45,2.59,34,38.0,70,9,2,507,423,85,707,397,407,7,3,2,2368,472,465,50.4
Rennes,32,25.2,55.4,38,418,"3,420",38.0,66,47,113,63,3,3,58,6,61.4,59.0,45.4,104.4,774,1922,1.74,1.24,2.97,1.66,2.89,1.62,1.20,2.81,1.55,2.75,32,38.0,58,6,2,465,379,54,564,341,335,3,5,1,2035,538,520,50.9
Strasbourg,29,27.3,45.9,38,418,"3,420",38.0,48,28,76,43,5,7,73,7,48.5,42.8,32.1,74.8,610,1351,1.26,0.74,2.00,1.13,1.87,1.28,0.84,2.12,1.13,1.97,29,38.0,73,7,2,529,474,43,647,437,409,6,11,0,2132,677,573,54.2
Toulouse,29,25.1,51.3,38,418,"3,420",38.0,50,33,83,46,4,4,62,3,52.5,49.4,35.8,85.2,648,1737,1.32,0.87,2.18,1.21,2.08,1.38,0.94,2.33,1.30,2.24,29,38.0,62,3,3,473,413,74,660,409,406,2,7,3,2168,483,460,51.2
Troyes,32,25.8,42.6,38,418,"3,420",38.0,43,26,69,38,5,5,55,5,39.1,35.6,27.9,63.5,638,1235,1.13,0.68,1.82,1.00,1.68,1.03,0.73,1.76,0.94,1.67,32,38.0,55,5,1,402,404,57,517,398,361,4,8,2,1986,476,495,49.0
