team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
1860 Munich,28,26.5,,34,374,"3,060",34.0,32,22,54,28,4,5,86,4,0.94,0.65,1.59,0.82,1.47,28,34.0,86,4,,,,,,,,,,
Bayern Munich,26,27.5,,34,367,"3,060",34.0,70,56,126,67,3,4,67,5,2.06,1.65,3.71,1.97,3.62,26,34.0,67,5,,,,,,,,,,
Bochum,21,28.6,,34,374,"3,060",34.0,56,42,98,56,0,0,64,0,1.65,1.24,2.88,1.65,2.88,21,34.0,64,0,,,,,,,,,,
Dortmund,27,27.0,,34,367,"3,060",34.0,57,36,93,52,5,7,67,3,1.68,1.06,2.74,1.53,2.59,27,34.0,67,3,,,,,,,,,,
Eint Frankfurt,27,27.7,,34,374,"3,060",34.0,36,25,61,32,4,7,72,4,1.06,0.74,1.79,0.94,1.68,27,34.0,72,4,,,,,,,,,,
Freiburg,23,25.5,,34,380,"3,060",34.0,41,29,70,35,6,6,57,4,1.21,0.85,2.06,1.03,1.88,23,34.0,57,4,,,,,,,,,,
Gladbach,32,27.6,,34,374,"3,060",34.0,38,30,68,34,4,7,68,3,1.12,0.88,2.00,1.00,1.88,32,34.0,68,3,,,,,,,,,,
Hamburger SV,25,27.2,,34,375,"3,060",34.0,45,34,79,43,2,2,82,3,1.32,1.00,2.32,1.26,2.26,25,34.0,82,3,,,,,,,,,,
Hannover 96,31,26.4,,34,377,"3,060",34.0,49,38,87,46,3,3,76,7,1.44,1.12,2.56,1.35,2.47,31,34.0,76,7,,,,,,,,,,
Hansa Rostock,23,27.7,,34,374,"3,060",34.0,53,42,95,50,3,5,83,5,1.56,1.24,2.79,1.47,2.71,23,34.0,83,5,,,,,,,,,,
Hertha BSC,28,26.9,,34,374,"3,060",34.0,40,31,71,38,2,2,88,8,1.18,0.91,2.09,1.12,2.03,28,34.0,88,8,,,,,,,,,,
Kaiserslautern,31,27.2,,34,374,"3,060",34.0,39,26,65,38,1,3,99,7,1.15,0.76,1.91,1.12,1.88,31,34.0,99,7,,,,,,,,,,
Köln,30,26.1,,34,372,"3,060",34.0,31,20,51,30,1,2,74,4,0.91,0.59,1.50,0.88,1.47,30,34.0,74,4,,,,,,,,,,
Leverkusen,21,26.4,,34,374,"3,060",34.0,70,55,125,68,2,4,75,4,2.06,1.62,3.68,2.00,3.62,21,34.0,75,4,,,,,,,,,,
Schalke 04,28,27.0,,34,374,"3,060",34.0,48,36,84,44,4,5,70,5,1.41,1.06,2.47,1.29,2.35,28,34.0,70,5,,,,,,,,,,
Stuttgart,24,25.4,,34,374,"3,060",34.0,52,37,89,50,2,3,67,3,1.53,1.09,2.62,1.47,2.56,24,34.0,67,3,,,,,,,,,,
Werder Bremen,24,27.5,,34,374,"3,060",34.0,78,63,141,70,8,9,60,4,2.29,1.85,4.15,2.06,3.91,24,34.0,60,4,,,,,,,,,,
Wolfsburg,25,27.0,,34,370,"3,060",34.0,56,45,101,54,2,2,98,4,1.65,1.32,2.97,1.59,2.91,25,34.0,98,4,,,,,,,,,,
