team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,29,25.8,53.8,38,418,"3,420",38.0,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2.00,29,38.0,88,5,1,421,437,73,699,351,336,2,8,0,1861,501,589,46.0
Aston Villa,28,25.7,44.1,38,418,"3,420",38.0,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247,1.05,0.84,1.89,1.03,1.87,1.16,0.90,2.06,1.10,2.00,28,38.0,70,1,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7
Bournemouth,27,25.2,44.1,38,418,"3,420",38.0,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1.00,0.63,1.63,0.89,1.53,1.18,0.80,1.98,1.10,1.90,27,38.0,78,3,2,369,388,67,646,475,299,2,6,0,1979,792,835,48.7
Brighton,25,26.4,52.2,38,418,"3,420",38.0,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675,0.92,0.63,1.55,0.89,1.53,1.20,0.83,2.03,1.15,1.99,25,38.0,59,2,1,386,325,71,689,419,379,2,2,2,2065,690,577,54.5
Burnley,22,28.0,41.9,38,418,"3,420",38.0,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890,1.08,0.79,1.87,1.00,1.79,1.25,0.85,2.10,1.19,2.04,22,38.0,67,0,0,412,369,89,743,387,344,1,5,1,1860,937,917,50.5
Chelsea,27,25.5,60.4,38,418,"3,420",38.0,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.70,2.92,27,38.0,60,0,0,386,384,63,862,459,362,6,2,3,2210,703,701,50.1
Crystal Palace,25,29.4,44.8,38,418,"3,420",38.0,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57,25,38.0,62,2,0,424,479,53,588,444,390,2,1,2,1915,771,776,49.8
Everton,24,25.5,49.0,38,418,"3,420",38.0,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430,1.11,0.84,1.95,1.08,1.92,1.34,1.00,2.34,1.32,2.32,24,38.0,76,3,3,472,394,58,804,408,408,0,4,3,1966,860,835,50.7
Leicester City,24,26.1,57.1,38,418,"3,420",38.0,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67,24,38.0,43,3,1,418,444,64,779,423,432,6,10,2,2104,659,674,49.4
Liverpool,24,26.6,62.9,38,418,"3,420",38.0,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941,2.18,1.82,4.00,2.05,3.87,1.81,1.39,3.21,1.71,3.10,24,38.0,38,1,0,331,293,53,896,352,325,4,1,1,2194,655,588,52.7
Manchester City,24,26.9,66.2,38,418,"3,420",38.0,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,2.63,1.82,4.45,2.47,4.29,2.42,1.80,4.22,2.20,4.00,24,38.0,64,4,2,362,296,68,915,352,301,10,3,1,1959,515,498,50.8
Manchester Utd,29,24.8,55.8,38,418,"3,420",38.0,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36,29,38.0,73,0,0,423,427,56,635,379,333,12,3,1,2084,557,512,52.1
Newcastle Utd,28,26.5,39.0,38,418,"3,420",38.0,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,1.00,0.76,1.76,1.00,1.76,0.94,0.71,1.64,0.91,1.62,28,38.0,66,3,0,370,423,75,591,391,357,0,2,2,1871,733,781,48.4
Norwich City,30,26.0,49.3,38,418,"3,420",38.0,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65,30,38.0,68,3,0,363,430,50,473,397,379,1,7,3,1989,518,673,43.5
Sheffield Utd,26,26.9,43.1,38,418,"3,420",38.0,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,0.95,0.66,1.61,0.92,1.58,1.13,0.90,2.03,1.11,2.01,26,38.0,63,2,1,412,306,78,866,420,377,1,3,0,2041,946,886,51.6
Southampton,25,25.9,48.9,38,418,"3,420",38.0,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33,25,38.0,55,4,1,450,388,58,690,425,416,4,4,1,2150,810,878,48.0
Tottenham,29,26.7,52.0,38,418,"3,420",38.0,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,1.47,1.03,2.50,1.39,2.42,1.26,0.86,2.12,1.18,2.03,29,38.0,84,3,1,423,424,66,641,381,415,4,7,2,2022,642,671,48.9
Watford,26,28.9,42.9,38,418,"3,420",38.0,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95,26,38.0,80,3,2,481,342,68,684,424,369,7,9,3,1996,823,802,50.6
West Ham,29,27.4,44.1,38,418,"3,420",38.0,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,667,1377,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.20,2.16,29,38.0,64,1,1,387,345,66,737,421,417,3,6,3,2052,855,801,51.6
Wolves,21,26.6,48.3,38,418,"3,420",38.0,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33,21,38.0,61,2,2,407,360,49,718,437,367,4,3,1,2113,775,711,52.2
