team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Almería,27,26.1,46.4,38,418,"3,420",38.0,33,22,55,28,5,6,124,0,0.87,0.58,1.45,0.74,1.32,27,38.0,124,0,,556,,,,,,,,
Athletic Club,26,26.8,53.2,38,418,"3,420",38.0,41,26,67,36,5,5,103,0,1.08,0.68,1.76,0.95,1.63,26,38.0,103,0,,525,,,,,,,,
Atlético Madrid,25,27.5,48.6,38,418,"3,420",38.0,65,48,113,60,5,6,118,0,1.71,1.26,2.97,1.58,2.84,25,38.0,118,0,,543,,,,,,,,
Barcelona,24,27.7,65.7,38,418,"3,420",38.0,107,79,186,101,6,7,69,0,2.82,2.08,4.89,2.66,4.74,24,38.0,69,0,,369,,,,,,,,
Celta Vigo,23,26.3,55.9,38,418,"3,420",38.0,47,33,80,43,4,6,120,0,1.24,0.87,2.11,1.13,2.00,23,38.0,120,0,,581,,,,,,,,
Córdoba,33,25.7,45.9,38,418,"3,420",38.0,21,12,33,19,2,3,106,0,0.55,0.32,0.87,0.50,0.82,33,38.0,106,0,,492,,,,,,,,
Eibar,23,27.6,43.8,38,418,"3,420",38.0,33,25,58,31,2,2,110,0,0.87,0.66,1.53,0.82,1.47,23,38.0,110,0,,565,,,,,,,,
Elche,24,26.3,47.9,38,418,"3,420",38.0,35,25,60,31,4,7,113,0,0.92,0.66,1.58,0.82,1.47,24,38.0,113,0,,585,,,,,,,,
Espanyol,27,26.9,46.0,38,418,"3,420",38.0,47,29,76,43,4,4,125,0,1.24,0.76,2.00,1.13,1.89,27,38.0,125,0,,610,,,,,,,,
Getafe,27,26.9,46.9,38,418,"3,420",38.0,32,25,57,31,1,2,98,0,0.84,0.66,1.50,0.82,1.47,27,38.0,98,0,,540,,,,,,,,
Granada,34,26.6,47.4,38,418,"3,420",38.0,29,17,46,23,6,6,115,0,0.76,0.45,1.21,0.61,1.05,34,38.0,115,0,,573,,,,,,,,
La Coruña,27,26.9,48.4,38,418,"3,420",38.0,33,17,50,29,4,7,111,0,0.87,0.45,1.32,0.76,1.21,27,38.0,111,0,,559,,,,,,,,
Levante,29,28.0,44.5,38,418,"3,420",38.0,34,22,56,31,3,4,107,0,0.89,0.58,1.47,0.82,1.39,29,38.0,107,0,,570,,,,,,,,
Málaga,23,26.6,49.5,38,418,"3,420",38.0,40,27,67,36,4,7,112,0,1.05,0.71,1.76,0.95,1.66,23,38.0,112,0,,569,,,,,,,,
Rayo Vallecano,28,27.2,54.8,38,418,"3,420",38.0,46,33,79,44,2,3,113,0,1.21,0.87,2.08,1.16,2.03,28,38.0,113,0,,552,,,,,,,,
Real Madrid,24,26.4,56.2,38,418,"3,420",38.0,116,91,207,105,11,13,87,0,3.05,2.39,5.45,2.76,5.16,24,38.0,87,0,,406,,,,,,,,
Real Sociedad,25,26.5,49.8,38,418,"3,420",38.0,41,35,76,38,3,3,89,0,1.08,0.92,2.00,1.00,1.92,25,38.0,89,0,,509,,,,,,,,
Sevilla,26,26.2,50.3,38,418,"3,420",38.0,68,45,113,60,8,10,118,0,1.79,1.18,2.97,1.58,2.76,26,38.0,118,0,,604,,,,,,,,
Valencia,24,24.8,50.0,38,418,"3,420",38.0,66,48,114,61,5,7,112,0,1.74,1.26,3.00,1.61,2.87,24,38.0,112,0,,566,,,,,,,,
Villarreal,28,25.0,48.6,38,418,"3,420",38.0,48,34,82,46,2,2,96,0,1.26,0.89,2.16,1.21,2.11,28,38.0,96,0,,526,,,,,,,,
