team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,27,26.5,57.3,38,418,"3,420",38.0,75,60,135,73,2,4,63,3,72.2,69.0,55.8,124.8,1104,1939,1.97,1.58,3.55,1.92,3.50,1.90,1.47,3.37,1.82,3.28,27,38.0,63,3,1,445,501,71,801,454,397,3,5,3,2247,628,551,53.3
Bologna,29,27.0,44.9,38,418,"3,420",38.0,45,35,80,40,5,5,94,6,46.8,42.9,30.8,73.7,675,1328,1.18,0.92,2.11,1.05,1.97,1.23,0.81,2.04,1.13,1.94,29,38.0,94,6,3,516,519,83,737,372,430,2,4,1,1877,748,716,51.1
Cagliari,30,27.9,49.8,38,418,"3,420",38.0,35,27,62,33,2,3,99,9,42.1,39.7,30.7,70.4,555,1288,0.92,0.71,1.63,0.87,1.58,1.11,0.81,1.91,1.05,1.85,30,38.0,99,9,5,573,454,58,794,344,388,3,10,2,1946,850,758,52.9
Chievo,36,28.3,43.3,38,418,"3,420",38.0,25,17,42,21,4,6,116,7,36.0,31.7,25.6,57.3,500,1229,0.66,0.45,1.11,0.55,1.00,0.95,0.67,1.62,0.83,1.51,36,38.0,116,7,6,588,476,78,677,471,374,3,4,2,1944,695,732,48.7
Empoli,29,26.4,47.9,38,418,"3,420",38.0,48,36,84,44,4,7,74,3,52.4,46.8,37.5,84.3,801,1567,1.26,0.95,2.21,1.16,2.11,1.38,0.99,2.36,1.23,2.22,29,38.0,74,3,1,458,440,77,636,333,328,5,8,2,1865,431,544,44.2
Fiorentina,27,24.1,50.4,38,418,"3,420",38.0,45,24,69,40,5,6,91,5,54.0,49.2,35.8,85.0,801,1544,1.18,0.63,1.82,1.05,1.68,1.42,0.94,2.36,1.30,2.24,27,38.0,91,5,2,562,507,48,780,413,371,5,6,3,1973,637,623,50.6
Frosinone,33,26.4,41.5,38,418,"3,420",38.0,28,21,49,24,4,5,99,2,38.9,35.1,27.1,62.2,520,1220,0.74,0.55,1.29,0.63,1.18,1.02,0.71,1.74,0.92,1.64,33,38.0,99,2,0,560,536,73,815,384,353,5,5,1,1873,621,715,46.5
Genoa,31,26.0,43.4,38,418,"3,420",38.0,37,26,63,33,4,5,96,7,46.9,43.0,32.5,75.5,690,1274,0.97,0.68,1.66,0.87,1.55,1.24,0.86,2.09,1.13,1.99,31,38.0,96,7,2,559,481,65,797,424,424,4,6,2,1981,758,749,50.3
Inter,23,27.7,59.4,38,418,"3,420",38.0,57,36,93,49,8,9,75,3,63.8,56.8,45.4,102.3,954,1917,1.50,0.95,2.45,1.29,2.24,1.68,1.20,2.88,1.50,2.69,23,38.0,75,3,2,468,488,64,1092,311,409,5,5,3,1995,519,589,46.8
Juventus,31,28.0,55.9,38,418,"3,420",38.0,66,44,110,59,7,8,78,4,60.7,54.5,42.5,97.1,926,1853,1.74,1.16,2.89,1.55,2.71,1.60,1.12,2.72,1.44,2.55,31,38.0,78,4,2,471,469,75,867,396,355,5,4,1,1946,534,469,53.2
