team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ascoli,32,28.0,,38,404,"3,420",38.0,35,17,52,32,3,6,127,8,0.92,0.45,1.37,0.84,1.29,32,38.0,127,8,,844,,,,,,,,
Atalanta,23,27.6,,38,414,"3,420",38.0,54,37,91,49,5,7,106,7,1.42,0.97,2.39,1.29,2.26,23,38.0,106,7,,743,,,,,,,,
Cagliari,29,27.4,,38,417,"3,420",38.0,34,18,52,26,8,9,68,6,0.89,0.47,1.37,0.68,1.16,29,38.0,68,6,,658,,,,,,,,
Catania,26,29.3,,38,418,"3,420",38.0,46,24,70,41,5,5,108,10,1.21,0.63,1.84,1.08,1.71,26,38.0,108,10,,746,,,,,,,,
Chievo,33,28.1,,38,418,"3,420",38.0,38,17,55,34,4,7,91,9,1.00,0.45,1.45,0.89,1.34,33,38.0,91,9,,728,,,,,,,,
Empoli,26,27.5,,38,418,"3,420",38.0,42,28,70,38,4,5,78,4,1.11,0.74,1.84,1.00,1.74,26,38.0,78,4,,785,,,,,,,,
Fiorentina,22,26.2,,38,418,"3,420",38.0,60,37,97,56,4,6,88,4,1.58,0.97,2.55,1.47,2.45,22,38.0,88,4,,812,,,,,,,,
Inter,25,28.8,,38,418,"3,420",38.0,76,59,135,70,6,8,92,5,2.00,1.55,3.55,1.84,3.39,25,38.0,92,5,,621,,,,,,,,
Lazio,28,27.9,,38,418,"3,420",38.0,59,27,86,53,6,3,94,11,1.55,0.71,2.26,1.39,2.11,28,38.0,94,11,,745,,,,,,,,
Livorno,24,29.3,,38,439,"3,420",38.0,41,25,66,36,5,5,82,5,1.08,0.66,1.74,0.95,1.61,24,38.0,82,5,,724,,,,,,,,
Messina,31,28.0,,38,404,"3,420",38.0,37,22,59,30,7,9,119,14,0.97,0.58,1.55,0.79,1.37,31,38.0,119,14,,713,,,,,,,,
Milan,31,29.3,,38,436,"3,420",38.0,56,37,93,52,4,7,66,4,1.47,0.97,2.45,1.37,2.34,31,38.0,66,4,,654,,,,,,,,
Palermo,23,27.7,,38,432,"3,420",38.0,58,32,90,52,6,7,102,9,1.53,0.84,2.37,1.37,2.21,23,38.0,102,9,,799,,,,,,,,
Parma,26,26.8,,38,404,"3,420",38.0,41,24,65,35,6,7,106,6,1.08,0.63,1.71,0.92,1.55,26,38.0,106,6,,806,,,,,,,,
Reggina,26,27.0,,38,418,"3,420",38.0,52,31,83,46,6,7,111,4,1.37,0.82,2.18,1.21,2.03,26,38.0,111,4,,790,,,,,,,,
Roma,23,27.1,,38,418,"3,420",38.0,74,51,125,69,5,10,82,2,1.95,1.34,3.29,1.82,3.16,23,38.0,82,2,,645,,,,,,,,
Sampdoria,27,28.2,,38,414,"3,420",38.0,43,23,66,38,5,7,94,7,1.13,0.61,1.74,1.00,1.61,27,38.0,94,7,,792,,,,,,,,
Siena,24,27.6,,38,411,"3,420",38.0,35,21,56,33,2,5,100,11,0.92,0.55,1.47,0.87,1.42,24,38.0,100,11,,789,,,,,,,,
Torino,30,29.7,,38,407,"3,420",38.0,25,22,47,22,3,3,98,8,0.66,0.58,1.24,0.58,1.16,30,38.0,98,8,,804,,,,,,,,
Udinese,29,24.4,,38,423,"3,420",38.0,49,31,80,43,6,6,95,12,1.29,0.82,2.11,1.13,1.95,29,38.0,95,12,,745,,,,,,,,
