team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Angers,29,26.7,46.1,38,418,"3,420",38.0,39,25,64,36,3,4,60,1,1.03,0.66,1.68,0.95,1.61,29,38.0,60,1,1,435,386,55,732,570,496,4,2,4
Bastia,29,26.9,43.4,38,418,"3,420",38.0,28,18,46,28,0,1,85,7,0.74,0.47,1.21,0.74,1.21,29,38.0,85,7,7,445,501,50,580,608,472,1,8,2
Bordeaux,27,25.9,48.3,38,418,"3,420",38.0,51,35,86,47,4,7,67,1,1.34,0.92,2.26,1.24,2.16,27,38.0,67,1,1,441,501,103,690,516,563,6,4,2
Caen,27,28.7,45.8,38,418,"3,420",38.0,35,28,63,31,4,5,61,1,0.92,0.74,1.66,0.82,1.55,27,38.0,61,1,1,439,457,57,963,693,556,6,8,2
Dijon,27,27.7,46.4,38,418,"3,420",38.0,42,29,71,39,3,4,74,3,1.11,0.76,1.87,1.03,1.79,27,38.0,74,3,3,493,472,80,698,628,600,3,11,1
Guingamp,25,27.6,47.5,38,418,"3,420",38.0,46,33,79,42,4,4,63,3,1.21,0.87,2.08,1.11,1.97,25,38.0,63,3,3,501,506,101,735,576,480,4,11,1
Lille,31,26.9,51.1,38,418,"3,420",38.0,40,26,66,34,6,7,64,3,1.05,0.68,1.74,0.89,1.58,31,38.0,64,3,3,540,533,57,685,583,465,8,6,1
Lorient,30,26.8,50.5,38,418,"3,420",38.0,43,30,73,39,4,6,68,0,1.13,0.79,1.92,1.03,1.82,30,38.0,68,0,0,439,383,73,770,595,431,4,6,2
Lyon,27,25.0,59.1,38,418,"3,420",38.0,74,44,118,62,12,14,65,2,1.95,1.16,3.11,1.63,2.79,27,38.0,65,2,2,503,523,103,655,498,531,11,6,1
Marseille,27,27.4,55.9,38,418,"3,420",38.0,56,37,93,52,4,4,71,1,1.47,0.97,2.45,1.37,2.34,27,38.0,71,1,1,520,386,105,693,596,538,4,2,1
Metz,31,26.5,42.4,38,418,"3,420",38.0,37,22,59,29,8,9,75,,0.97,0.58,1.55,0.76,1.34,31,38.0,75,,2,515,436,91,698,697,502,9,7,1
Monaco,29,25.0,51.9,38,418,"3,420",38.0,103,62,165,92,11,11,53,1,2.71,1.63,4.34,2.42,4.05,29,38.0,53,1,1,465,449,84,949,534,525,11,5,0
Montpellier,32,26.8,49.4,38,418,"3,420",38.0,48,30,78,45,3,3,48,2,1.26,0.79,2.05,1.18,1.97,32,38.0,48,2,2,401,455,66,821,595,467,1,8,2
Nancy,27,27.2,43.1,38,418,"3,420",38.0,29,22,51,28,1,3,78,1,0.76,0.58,1.34,0.74,1.32,27,38.0,78,1,1,499,459,127,685,659,525,1,9,2
Nantes,27,24.8,48.4,38,418,"3,420",38.0,40,31,71,38,2,4,78,1,1.05,0.82,1.87,1.00,1.82,27,38.0,78,1,1,543,395,108,814,524,642,4,9,1
Nice,27,24.3,58.9,38,418,"3,420",38.0,63,45,108,57,6,8,60,1,1.66,1.18,2.84,1.50,2.68,27,38.0,60,1,1,424,572,75,411,434,472,8,5,1
Paris S-G,28,26.4,65.3,38,418,"3,420",38.0,79,54,133,70,9,10,54,1,2.08,1.42,3.50,1.84,3.26,28,38.0,54,1,1,404,409,129,909,521,478,10,3,1
Rennes,31,26.3,52.0,38,418,"3,420",38.0,35,25,60,33,2,3,59,,0.92,0.66,1.58,0.87,1.53,31,38.0,59,,1,460,418,80,672,499,523,3,4,1
Saint-Étienne,34,26.1,49.8,38,418,"3,420",38.0,40,26,66,35,5,6,58,,1.05,0.68,1.74,0.92,1.61,34,38.0,58,,2,484,449,95,761,641,502,6,4,0
Toulouse,30,23.3,45.4,38,418,"3,420",38.0,37,22,59,31,6,9,90,,0.97,0.58,1.55,0.82,1.39,30,38.0,90,,1,558,470,47,639,554,536,9,9,0
