team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Alavés,23,29.1,,38,418,"3,420",38.0,38,26,64,35,3,7,104,8,1.00,0.68,1.68,0.92,1.61,23,38.0,104,8,,776,,,,,,,,
Athletic Club,27,25.8,,38,418,"3,420",38.0,62,42,104,56,6,7,101,2,1.63,1.11,2.74,1.47,2.58,27,38.0,101,2,,754,,,,,,,,
Atlético Madrid,25,27.2,,38,418,"3,420",38.0,49,37,86,44,5,9,129,10,1.29,0.97,2.26,1.16,2.13,25,38.0,129,10,,780,,,,,,,,
Barcelona,28,26.1,,38,419,"3,420",38.0,61,47,108,55,6,7,91,8,1.61,1.24,2.84,1.45,2.68,28,38.0,91,8,,604,,,,,,,,
Betis,28,25.5,,38,410,"3,420",38.0,52,38,90,47,5,6,112,8,1.37,1.00,2.37,1.24,2.24,28,38.0,112,8,,720,,,,,,,,
Celta Vigo,28,27.8,,38,418,"3,420",38.0,44,32,76,41,3,8,98,6,1.16,0.84,2.00,1.08,1.92,28,38.0,98,6,,645,,,,,,,,
Espanyol,30,25.7,,38,412,"3,420",38.0,47,32,79,40,7,8,105,9,1.24,0.84,2.08,1.05,1.89,30,38.0,105,9,,734,,,,,,,,
La Coruña,24,28.7,,38,418,"3,420",38.0,67,50,117,62,5,6,71,4,1.76,1.32,3.08,1.63,2.95,24,38.0,71,4,,590,,,,,,,,
Málaga,31,27.8,,38,417,"3,420",38.0,43,30,73,39,4,6,118,11,1.13,0.79,1.92,1.03,1.82,31,38.0,118,11,,768,,,,,,,,
Mallorca,26,26.5,,38,418,"3,420",38.0,47,30,77,39,8,8,100,7,1.24,0.79,2.03,1.03,1.82,26,38.0,100,7,,686,,,,,,,,
Osasuna,27,26.7,,38,415,"3,420",38.0,39,26,65,33,6,6,107,7,1.03,0.68,1.71,0.87,1.55,27,38.0,107,7,,705,,,,,,,,
Racing Sant,32,25.7,,38,417,"3,420",38.0,53,31,84,48,5,7,103,7,1.39,0.82,2.21,1.26,2.08,32,38.0,103,7,,775,,,,,,,,
Rayo Vallecano,28,26.9,,38,418,"3,420",38.0,30,19,49,23,7,7,103,7,0.79,0.50,1.29,0.61,1.11,28,38.0,103,7,,670,,,,,,,,
Real Madrid,23,26.9,,38,418,"3,420",38.0,86,62,148,80,6,8,67,4,2.26,1.63,3.89,2.11,3.74,23,38.0,67,4,,635,,,,,,,,
Real Sociedad,22,27.1,,38,418,"3,420",38.0,70,49,119,65,5,6,69,3,1.84,1.29,3.13,1.71,3.00,22,38.0,69,3,,678,,,,,,,,
Recreativo,28,26.8,,38,427,"3,420",38.0,35,25,60,33,2,5,89,8,0.92,0.66,1.58,0.87,1.53,28,38.0,89,8,,655,,,,,,,,
Sevilla,28,26.6,,38,418,"3,420",38.0,34,24,58,28,6,6,104,9,0.89,0.63,1.53,0.74,1.37,28,38.0,104,9,,711,,,,,,,,
Valencia,31,26.7,,38,418,"3,420",38.0,53,34,87,48,5,9,104,9,1.39,0.89,2.29,1.26,2.16,31,38.0,104,9,,805,,,,,,,,
Valladolid,27,25.3,,38,417,"3,420",38.0,35,25,60,32,3,4,86,7,0.92,0.66,1.58,0.84,1.50,27,38.0,86,7,,726,,,,,,,,
Villarreal,30,25.8,,38,418,"3,420",38.0,43,26,69,36,7,8,100,7,1.13,0.68,1.82,0.95,1.63,30,38.0,100,7,,701,,,,,,,,
