team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arsenal,30,28.3,,38,417,"3,420",38.0,71,49,120,68,3,5,71,5,1.87,1.29,3.16,1.79,3.08,30,38.0,71,5,,517,,,,,,,,
Aston Villa,25,26.6,,38,420,"3,420",38.0,48,41,89,45,3,5,65,1,1.26,1.08,2.34,1.18,2.26,25,38.0,65,1,,538,,,,,,,,
Bradford City,25,29.8,,38,418,"3,420",38.0,37,21,58,32,5,5,55,1,0.97,0.55,1.53,0.84,1.39,25,38.0,55,1,,519,,,,,,,,
Chelsea,27,28.9,,38,434,"3,420",38.0,48,45,93,47,1,1,64,4,1.26,1.18,2.45,1.24,2.42,27,38.0,64,4,,622,,,,,,,,
Coventry City,30,27.1,,38,412,"3,420",38.0,46,32,78,41,5,5,54,1,1.21,0.84,2.05,1.08,1.92,30,38.0,54,1,,467,,,,,,,,
Derby County,31,26.2,,38,418,"3,420",38.0,42,28,70,40,2,4,90,4,1.11,0.74,1.84,1.05,1.79,31,38.0,90,4,,550,,,,,,,,
Everton,28,27.4,,38,437,"3,420",38.0,58,48,106,52,6,7,60,5,1.53,1.26,2.79,1.37,2.63,28,38.0,60,5,,614,,,,,,,,
Leeds United,20,24.1,,38,417,"3,420",38.0,57,36,93,53,4,6,79,3,1.50,0.95,2.45,1.39,2.34,20,38.0,79,3,,613,,,,,,,,
Leicester City,26,27.8,,38,417,"3,420",38.0,53,34,87,50,3,3,45,3,1.39,0.89,2.29,1.32,2.21,26,38.0,45,3,,398,,,,,,,,
Liverpool,23,24.3,,38,418,"3,420",38.0,50,30,80,47,3,5,62,4,1.32,0.79,2.11,1.24,2.03,23,38.0,62,4,,511,,,,,,,,
Manchester Utd,29,26.8,,38,417,"3,420",38.0,94,69,163,91,3,5,46,4,2.47,1.82,4.29,2.39,4.21,29,38.0,46,4,,409,,,,,,,,
Middlesbrough,28,28.5,,38,418,"3,420",38.0,44,26,70,38,6,9,82,3,1.16,0.68,1.84,1.00,1.68,28,38.0,82,3,,583,,,,,,,,
Newcastle Utd,32,26.8,,38,418,"3,420",38.0,60,43,103,54,6,6,48,1,1.58,1.13,2.71,1.42,2.55,32,38.0,48,1,,539,,,,,,,,
Sheffield Weds,25,28.4,,38,399,"3,420",38.0,34,24,58,31,3,4,43,1,0.89,0.63,1.53,0.82,1.45,25,38.0,43,1,,439,,,,,,,,
Southampton,29,27.4,,38,402,"3,420",38.0,42,32,74,41,1,1,72,5,1.11,0.84,1.95,1.08,1.92,29,38.0,72,5,,522,,,,,,,,
Sunderland,27,26.9,,38,417,"3,420",38.0,57,39,96,51,6,8,79,3,1.50,1.03,2.53,1.34,2.37,27,38.0,79,3,,606,,,,,,,,
Tottenham,28,26.7,,38,418,"3,420",38.0,55,40,95,54,1,1,86,1,1.45,1.05,2.50,1.42,2.47,28,38.0,86,1,,533,,,,,,,,
Watford,31,26.2,,38,419,"3,420",38.0,35,28,63,33,2,2,68,2,0.92,0.74,1.66,0.87,1.61,31,38.0,68,2,,557,,,,,,,,
West Ham,28,26.7,,38,419,"3,420",38.0,51,42,93,49,2,2,73,6,1.34,1.11,2.45,1.29,2.39,28,38.0,73,6,,558,,,,,,,,
Wimbledon,26,26.7,,38,418,"3,420",38.0,44,33,77,43,1,1,46,4,1.16,0.87,2.03,1.13,2.00,26,38.0,46,4,,508,,,,,,,,
