team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Auxerre,25,24.2,,34,373,"3,060",34.0,30,11,41,25,5,5,63,2,0.88,0.32,1.21,0.74,1.06,25,34.0,63,2,,,,,,,,,,
Bastia,26,27.8,,34,374,"3,060",34.0,42,25,67,40,2,3,54,2,1.24,0.74,1.97,1.18,1.91,26,34.0,54,2,,,,,,,,,,
Bordeaux,22,27.1,,34,373,"3,060",34.0,47,25,72,44,3,5,79,6,1.38,0.74,2.12,1.29,2.03,22,34.0,79,6,,,,,,,,,,
Guingamp,23,27.6,,34,375,"3,060",34.0,39,24,63,33,6,7,75,1,1.15,0.71,1.85,0.97,1.68,23,34.0,75,1,,,,,,,,,,
Lens,22,26.9,,34,374,"3,060",34.0,36,22,58,35,1,2,77,5,1.06,0.65,1.71,1.03,1.68,22,34.0,77,5,,,,,,,,,,
Lille,26,25.8,,34,374,"3,060",34.0,42,27,69,41,1,2,56,3,1.24,0.79,2.03,1.21,2.00,26,34.0,56,3,,,,,,,,,,
Lyon,24,26.6,,34,375,"3,060",34.0,56,37,93,52,4,5,48,7,1.65,1.09,2.74,1.53,2.62,24,34.0,48,7,,,,,,,,,,
Marseille,34,25.7,,34,375,"3,060",34.0,31,17,48,30,1,3,80,3,0.91,0.50,1.41,0.88,1.38,34,34.0,80,3,,,,,,,,,,
Metz,31,28.2,,34,374,"3,060",34.0,36,16,52,34,2,5,68,2,1.06,0.47,1.53,1.00,1.47,31,34.0,68,2,,,,,,,,,,
Monaco,29,25.0,,34,371,"3,060",34.0,53,35,88,53,0,2,81,5,1.56,1.03,2.59,1.56,2.59,29,34.0,81,5,,,,,,,,,,
Nantes,26,24.8,,34,374,"3,060",34.0,57,31,88,53,4,5,43,1,1.68,0.91,2.59,1.56,2.47,26,34.0,43,1,,,,,,,,,,
Paris S-G,30,24.7,,34,373,"3,060",34.0,41,27,68,38,3,3,63,3,1.21,0.79,2.00,1.12,1.91,30,34.0,63,3,,,,,,,,,,
Rennes,24,25.8,,34,374,"3,060",34.0,46,22,68,46,0,0,52,2,1.35,0.65,2.00,1.35,2.00,24,34.0,52,2,,,,,,,,,,
Saint-Étienne,30,26.2,,34,374,"3,060",34.0,42,22,64,41,1,3,59,1,1.24,0.65,1.88,1.21,1.85,30,34.0,59,1,,,,,,,,,,
Sedan,23,27.2,,34,377,"3,060",34.0,47,26,73,43,4,4,72,5,1.38,0.76,2.15,1.26,2.03,23,34.0,72,5,,,,,,,,,,
Strasbourg,30,25.6,,34,374,"3,060",34.0,28,15,43,26,2,4,63,6,0.82,0.44,1.26,0.76,1.21,30,34.0,63,6,,,,,,,,,,
Toulouse,31,26.9,,34,372,"3,060",34.0,34,20,54,31,3,3,78,4,1.00,0.59,1.59,0.91,1.50,31,34.0,78,4,,,,,,,,,,
Troyes,24,26.9,,34,374,"3,060",34.0,42,25,67,39,3,3,83,7,1.24,0.74,1.97,1.15,1.88,24,34.0,83,7,,,,,,,,,,
