team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arminia,29,28.3,,34,373,"3,060",34.0,37,28,65,36,1,3,48,0,1.09,0.82,1.91,1.06,1.88,29,34.0,48,0,,,,,,,,,,
Bayern Munich,26,27.8,,34,374,"3,060",34.0,73,60,133,69,4,4,62,4,2.15,1.76,3.91,2.03,3.79,26,34.0,62,4,,,,,,,,,,
Bochum,27,27.9,,34,374,"3,060",34.0,42,31,73,38,4,5,73,4,1.24,0.91,2.15,1.12,2.03,27,34.0,73,4,,,,,,,,,,
Dortmund,27,25.6,,34,372,"3,060",34.0,47,36,83,45,2,3,63,2,1.38,1.06,2.44,1.32,2.38,27,34.0,63,2,,,,,,,,,,
Freiburg,29,26.0,,34,372,"3,060",34.0,30,21,51,30,0,1,64,4,0.88,0.62,1.50,0.88,1.50,29,34.0,64,4,,,,,,,,,,
Gladbach,31,27.5,,34,376,"3,060",34.0,35,26,61,31,4,5,85,3,1.03,0.76,1.79,0.91,1.68,31,34.0,85,3,,,,,,,,,,
Hamburger SV,26,26.8,,34,374,"3,060",34.0,55,42,97,54,1,3,91,4,1.62,1.24,2.85,1.59,2.82,26,34.0,91,4,,,,,,,,,,
Hannover 96,26,27.2,,34,376,"3,060",34.0,34,26,60,33,1,1,39,1,1.00,0.76,1.76,0.97,1.74,26,34.0,39,1,,,,,,,,,,
Hansa Rostock,25,27.8,,34,374,"3,060",34.0,31,21,52,30,1,3,87,4,0.91,0.62,1.53,0.88,1.50,25,34.0,87,4,,,,,,,,,,
Hertha BSC,22,27.0,,34,374,"3,060",34.0,59,43,102,54,5,6,69,5,1.74,1.26,3.00,1.59,2.85,22,34.0,69,5,,,,,,,,,,
Kaiserslautern,27,27.1,,34,373,"3,060",34.0,41,25,66,35,6,6,78,2,1.21,0.74,1.94,1.03,1.76,27,34.0,78,2,,,,,,,,,,
Leverkusen,24,26.9,,34,371,"3,060",34.0,65,46,111,63,2,2,62,2,1.91,1.35,3.26,1.85,3.21,24,34.0,62,2,,,,,,,,,,
Mainz 05,25,26.7,,34,374,"3,060",34.0,48,34,82,47,1,1,50,2,1.41,1.00,2.41,1.38,2.38,25,34.0,50,2,,,,,,,,,,
Nürnberg,25,26.5,,34,368,"3,060",34.0,53,41,94,47,6,7,81,4,1.56,1.21,2.76,1.38,2.59,25,34.0,81,4,,,,,,,,,,
Schalke 04,22,27.5,,34,375,"3,060",34.0,56,40,96,54,2,3,75,4,1.65,1.18,2.82,1.59,2.76,22,34.0,75,4,,,,,,,,,,
Stuttgart,24,26.4,,34,374,"3,060",34.0,52,44,96,48,4,4,79,5,1.53,1.29,2.82,1.41,2.71,24,34.0,79,5,,,,,,,,,,
Werder Bremen,23,26.8,,34,374,"3,060",34.0,67,55,122,65,2,2,58,4,1.97,1.62,3.59,1.91,3.53,23,34.0,58,4,,,,,,,,,,
Wolfsburg,24,28.1,,34,374,"3,060",34.0,49,37,86,45,4,4,69,5,1.44,1.09,2.53,1.32,2.41,24,34.0,69,5,,,,,,,,,,
