team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Albacete,36,26.6,,38,418,"3,420",38.0,33,22,55,31,2,3,100,9,0.87,0.58,1.45,0.82,1.39,36,38.0,100,9,,641,,,,,,,,
Athletic Club,28,25.1,,38,421,"3,420",38.0,59,39,98,56,3,4,103,4,1.55,1.03,2.58,1.47,2.50,28,38.0,103,4,,648,,,,,,,,
Atlético Madrid,27,25.7,,38,418,"3,420",38.0,40,24,64,36,4,5,104,7,1.05,0.63,1.68,0.95,1.58,27,38.0,104,7,,709,,,,,,,,
Barcelona,26,25.5,,38,418,"3,420",38.0,71,47,118,64,7,9,78,2,1.87,1.24,3.11,1.68,2.92,26,38.0,78,2,,636,,,,,,,,
Betis,25,25.9,,38,417,"3,420",38.0,61,42,103,60,1,1,98,7,1.61,1.11,2.71,1.58,2.68,25,38.0,98,7,,656,,,,,,,,
Espanyol,25,26.1,,38,418,"3,420",38.0,52,34,86,45,7,8,91,9,1.37,0.89,2.26,1.18,2.08,25,38.0,91,9,,636,,,,,,,,
Getafe,29,27.3,,38,422,"3,420",38.0,36,25,61,34,2,4,102,4,0.95,0.66,1.61,0.89,1.55,29,38.0,102,4,,711,,,,,,,,
La Coruña,26,28.4,,38,418,"3,420",38.0,43,30,73,39,4,5,85,3,1.13,0.79,1.92,1.03,1.82,26,38.0,85,3,,606,,,,,,,,
Levante,23,27.5,,38,418,"3,420",38.0,39,25,64,37,2,3,96,4,1.03,0.66,1.68,0.97,1.63,23,38.0,96,4,,711,,,,,,,,
Málaga,26,26.8,,38,417,"3,420",38.0,40,27,67,39,1,3,112,9,1.05,0.71,1.76,1.03,1.74,26,38.0,112,9,,718,,,,,,,,
Mallorca,29,25.3,,38,418,"3,420",38.0,40,27,67,37,3,5,99,6,1.05,0.71,1.76,0.97,1.68,29,38.0,99,6,,651,,,,,,,,
Numancia,30,27.6,,38,410,"3,420",38.0,29,22,51,26,3,3,102,6,0.76,0.58,1.34,0.68,1.26,30,38.0,102,6,,626,,,,,,,,
Osasuna,25,26.2,,38,418,"3,420",38.0,44,33,77,42,2,3,125,9,1.16,0.87,2.03,1.11,1.97,25,38.0,125,9,,732,,,,,,,,
Racing Sant,29,25.0,,38,418,"3,420",38.0,40,25,65,39,1,2,128,7,1.05,0.66,1.71,1.03,1.68,29,38.0,128,7,,763,,,,,,,,
Real Madrid,27,27.9,,38,418,"3,420",38.0,71,51,122,67,4,5,99,5,1.87,1.34,3.21,1.76,3.11,27,38.0,99,5,,645,,,,,,,,
Real Sociedad,27,25.9,,38,418,"3,420",38.0,46,30,76,42,4,5,71,4,1.21,0.79,2.00,1.11,1.89,27,38.0,71,4,,630,,,,,,,,
Sevilla,29,26.1,,38,422,"3,420",38.0,44,27,71,41,3,0,108,6,1.16,0.71,1.87,1.08,1.79,29,38.0,108,6,,783,,,,,,,,
Valencia,28,27.5,,38,418,"3,420",38.0,53,36,89,50,3,5,101,6,1.39,0.95,2.34,1.32,2.26,28,38.0,101,6,,693,,,,,,,,
Villarreal,25,25.8,,38,418,"3,420",38.0,68,42,110,59,9,9,81,7,1.79,1.11,2.89,1.55,2.66,25,38.0,81,7,,564,,,,,,,,
Zaragoza,25,25.5,,38,418,"3,420",38.0,49,32,81,46,3,4,102,5,1.29,0.84,2.13,1.21,2.05,25,38.0,102,5,,685,,,,,,,,
