team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,34,25.9,41.7,34,374,"3,060",34.0,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.21,0.85,2.06,1.09,1.94,1.02,0.71,1.74,0.91,1.62,34,34.0,96,5,2,433,356,58,548,286,299,3,4,2,1792,640,777,45.2
Bayern Munich,28,26.6,64.2,34,374,"3,060",34.0,90,67,157,87,3,5,49,3,75.0,71.0,56.6,127.7,863,2041,2.65,1.97,4.62,2.56,4.53,2.20,1.67,3.87,2.09,3.75,28,34.0,49,3,2,306,335,84,603,287,387,5,10,0,2085,471,381,55.3
Bochum,26,29.4,46.1,34,374,"3,060",34.0,37,28,65,34,3,3,64,1,40.0,37.7,28.4,66.0,350,1022,1.09,0.82,1.91,1.00,1.82,1.18,0.83,2.01,1.11,1.94,26,34.0,64,1,0,429,354,66,568,337,386,3,14,3,1991,770,737,51.1
Dortmund,30,25.8,58.2,34,374,"3,060",34.0,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48,30,34.0,66,0,0,322,407,41,677,298,334,6,1,1,1958,425,364,53.9
Eint Frankfurt,28,26.4,52.9,34,374,"3,060",34.0,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.60,1.39,2.46,28,34.0,71,1,1,429,377,70,616,284,357,6,2,1,2088,467,555,45.7
Freiburg,27,27.4,48.1,34,374,"3,060",34.0,51,34,85,44,7,8,62,2,47.9,41.6,28.5,70.1,427,1039,1.50,1.00,2.50,1.29,2.29,1.41,0.84,2.25,1.22,2.06,27,34.0,62,2,1,404,424,57,547,325,289,7,6,0,1754,743,686,52.0
Gladbach,27,26.8,53.7,34,374,"3,060",34.0,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,2.74,1.40,2.61,27,34.0,62,3,1,338,447,72,441,267,275,3,6,1,1718,415,419,49.8
Hertha BSC,32,26.0,42.0,34,374,"3,060",34.0,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,1.90,1.00,1.74,32,34.0,82,1,1,422,394,58,516,366,344,4,6,0,1835,633,701,47.5
Hoffenheim,31,26.8,48.3,34,374,"3,060",34.0,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,2.36,1.21,2.16,31,34.0,80,5,3,471,368,78,577,285,323,7,3,1,1843,550,557,49.7
Köln,27,26.0,49.9,34,374,"3,060",34.0,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,2.44,1.32,2.35,27,34.0,75,3,3,400,352,68,790,372,370,2,5,3,2022,659,608,52.0
