team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Almería,24,25.8,,38,418,"3,420",38.0,45,20,65,40,5,5,100,11,1.18,0.53,1.71,1.05,1.58,24,38.0,100,11,,674,,,,,,,,
Athletic Club,30,25.4,,38,418,"3,420",38.0,46,21,67,39,7,9,120,13,1.21,0.55,1.76,1.03,1.58,30,38.0,120,13,,705,,,,,,,,
Atlético Madrid,22,27.4,,38,418,"3,420",38.0,78,39,117,72,6,7,117,6,2.05,1.03,3.08,1.89,2.92,22,38.0,117,6,,642,,,,,,,,
Barcelona,29,26.3,,38,418,"3,420",38.0,102,66,168,97,5,7,77,6,2.68,1.74,4.42,2.55,4.29,29,38.0,77,6,,492,,,,,,,,
Betis,29,27.3,,38,418,"3,420",38.0,51,26,77,48,3,4,107,8,1.34,0.68,2.03,1.26,1.95,29,38.0,107,8,,641,,,,,,,,
Espanyol,26,26.1,,38,418,"3,420",38.0,46,21,67,40,6,8,119,6,1.21,0.55,1.76,1.05,1.61,26,38.0,119,6,,668,,,,,,,,
Getafe,25,26.6,,38,418,"3,420",38.0,49,22,71,43,6,11,126,7,1.29,0.58,1.87,1.13,1.71,25,38.0,126,7,,585,,,,,,,,
La Coruña,25,26.7,,38,418,"3,420",38.0,47,24,71,40,7,8,89,4,1.24,0.63,1.87,1.05,1.68,25,38.0,89,4,,523,,,,,,,,
Málaga,25,27.0,,38,418,"3,420",38.0,53,26,79,44,9,10,104,7,1.39,0.68,2.08,1.16,1.84,25,38.0,104,7,,627,,,,,,,,
Mallorca,22,27.4,,38,418,"3,420",38.0,52,30,82,51,1,3,122,7,1.37,0.79,2.16,1.34,2.13,22,38.0,122,7,,684,,,,,,,,
Numancia,26,28.5,,38,418,"3,420",38.0,38,12,50,32,6,9,112,8,1.00,0.32,1.32,0.84,1.16,26,38.0,112,8,,663,,,,,,,,
Osasuna,28,26.5,,38,418,"3,420",38.0,40,26,66,38,2,4,114,11,1.05,0.68,1.74,1.00,1.68,28,38.0,114,11,,637,,,,,,,,
Racing Sant,30,26.3,,38,418,"3,420",38.0,47,27,74,43,4,6,137,9,1.24,0.71,1.95,1.13,1.84,30,38.0,137,9,,747,,,,,,,,
Real Madrid,30,25.9,,38,417,"3,420",38.0,82,39,121,79,3,4,118,9,2.16,1.03,3.18,2.08,3.11,30,38.0,118,9,,645,,,,,,,,
Recreativo,27,26.1,,38,418,"3,420",38.0,34,19,53,30,4,4,102,6,0.89,0.50,1.39,0.79,1.29,27,38.0,102,6,,663,,,,,,,,
Sevilla,29,27.1,,38,418,"3,420",38.0,53,29,82,51,2,3,103,8,1.39,0.76,2.16,1.34,2.11,29,38.0,103,8,,624,,,,,,,,
Sporting Gijón,26,27.0,,38,418,"3,420",38.0,46,23,69,40,6,7,122,5,1.21,0.61,1.82,1.05,1.66,26,38.0,122,5,,721,,,,,,,,
Valencia,26,26.4,,38,418,"3,420",38.0,68,31,99,59,9,10,120,6,1.79,0.82,2.61,1.55,2.37,26,38.0,120,6,,678,,,,,,,,
Valladolid,25,28.1,,38,418,"3,420",38.0,44,21,65,41,3,3,90,10,1.16,0.55,1.71,1.08,1.63,25,38.0,90,10,,583,,,,,,,,
Villarreal,26,27.7,,38,418,"3,420",38.0,61,36,97,58,3,5,103,4,1.61,0.95,2.55,1.53,2.47,26,38.0,103,4,,606,,,,,,,,
