team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Atalanta,33,27.8,48.4,38,418,"3,420",38.0,38,23,61,34,4,6,114,0,1.00,0.61,1.61,0.89,1.50,33,38.0,114,0,,643,,,,,,,,
Bologna,31,27.0,45.8,38,418,"3,420",38.0,33,22,55,31,2,3,98,0,0.87,0.58,1.45,0.82,1.39,31,38.0,98,0,,531,,,,,,,,
Carpi,35,25.9,38.6,38,418,"3,420",38.0,33,22,55,28,5,8,115,0,0.87,0.58,1.45,0.74,1.32,35,38.0,115,0,,631,,,,,,,,
Chievo,26,30.5,45.3,38,418,"3,420",38.0,42,28,70,37,5,8,108,0,1.11,0.74,1.84,0.97,1.71,26,38.0,108,0,,638,,,,,,,,
Empoli,29,25.4,52.5,38,418,"3,420",38.0,39,29,68,38,1,2,101,0,1.03,0.76,1.79,1.00,1.76,29,38.0,101,0,,509,,,,,,,,
Fiorentina,26,27.6,61.0,38,418,"3,420",38.0,58,38,96,50,8,9,102,0,1.53,1.00,2.53,1.32,2.32,26,38.0,102,0,,535,,,,,,,,
Frosinone,28,26.5,39.7,38,418,"3,420",38.0,34,22,56,31,3,3,116,0,0.89,0.58,1.47,0.82,1.39,28,38.0,116,0,,640,,,,,,,,
Genoa,30,26.7,50.2,38,418,"3,420",38.0,44,35,79,40,4,4,91,0,1.16,0.92,2.08,1.05,1.97,30,38.0,91,0,,645,,,,,,,,
Hellas Verona,32,27.5,45.3,38,418,"3,420",38.0,34,23,57,28,6,7,97,0,0.89,0.61,1.50,0.74,1.34,32,38.0,97,0,,625,,,,,,,,
Inter,28,26.7,55.0,38,418,"3,420",38.0,49,35,84,47,2,3,104,0,1.29,0.92,2.21,1.24,2.16,28,38.0,104,0,,514,,,,,,,,
Juventus,28,28.3,56.0,38,418,"3,420",38.0,72,54,126,63,9,9,97,0,1.89,1.42,3.32,1.66,3.08,28,38.0,97,0,,570,,,,,,,,
Lazio,27,27.6,54.4,38,418,"3,420",38.0,52,31,83,43,9,11,107,0,1.37,0.82,2.18,1.13,1.95,27,38.0,107,0,,592,,,,,,,,
Milan,30,26.4,52.9,38,418,"3,420",38.0,49,28,77,43,6,7,96,0,1.29,0.74,2.03,1.13,1.87,30,38.0,96,0,,554,,,,,,,,
Napoli,22,26.5,62.6,38,418,"3,420",38.0,78,56,134,71,7,8,72,0,2.05,1.47,3.53,1.87,3.34,22,38.0,72,0,,464,,,,,,,,
Palermo,31,26.8,43.2,38,418,"3,420",38.0,37,31,68,36,1,1,103,0,0.97,0.82,1.79,0.95,1.76,31,38.0,103,0,,644,,,,,,,,
Roma,32,26.2,57.7,38,418,"3,420",38.0,83,55,138,79,4,4,87,0,2.18,1.45,3.63,2.08,3.53,32,38.0,87,0,,533,,,,,,,,
Sampdoria,35,27.5,49.4,38,418,"3,420",38.0,45,30,75,42,3,3,111,0,1.18,0.79,1.97,1.11,1.89,35,38.0,111,0,,578,,,,,,,,
Sassuolo,26,27.0,51.1,38,418,"3,420",38.0,48,33,81,44,4,5,98,0,1.26,0.87,2.13,1.16,2.03,26,38.0,98,0,,585,,,,,,,,
Torino,27,27.6,47.5,38,418,"3,420",38.0,49,29,78,40,9,11,99,0,1.29,0.76,2.05,1.05,1.82,27,38.0,99,0,,652,,,,,,,,
Udinese,28,27.6,44.4,38,418,"3,420",38.0,34,23,57,32,2,2,105,0,0.89,0.61,1.50,0.84,1.45,28,38.0,105,0,,579,,,,,,,,
