team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Bari,34,26.9,,38,418,"3,420",38.0,27,18,45,22,5,8,79,7,0.71,0.47,1.18,0.58,1.05,34,38.0,79,7,,544,,,,,,,,
Bologna,25,26.5,,38,418,"3,420",38.0,35,20,55,34,1,4,87,4,0.92,0.53,1.45,0.89,1.42,25,38.0,87,4,,602,,,,,,,,
Brescia,32,28.3,,38,418,"3,420",38.0,34,18,52,29,5,6,104,5,0.89,0.47,1.37,0.76,1.24,32,38.0,104,5,,619,,,,,,,,
Cagliari,22,26.2,,38,418,"3,420",38.0,41,28,69,40,1,2,75,0,1.08,0.74,1.82,1.05,1.79,22,38.0,75,0,,613,,,,,,,,
Catania,29,26.8,,38,418,"3,420",38.0,38,21,59,35,3,3,73,7,1.00,0.55,1.55,0.92,1.47,29,38.0,73,7,,615,,,,,,,,
Cesena,29,28.6,,38,418,"3,420",38.0,37,23,60,33,4,5,86,7,0.97,0.61,1.58,0.87,1.47,29,38.0,86,7,,575,,,,,,,,
Chievo,26,28.2,,38,418,"3,420",38.0,37,21,58,36,1,2,97,4,0.97,0.55,1.53,0.95,1.50,26,38.0,97,4,,662,,,,,,,,
Fiorentina,30,27.5,,38,418,"3,420",38.0,47,32,79,44,3,4,73,5,1.24,0.84,2.08,1.16,2.00,30,38.0,73,5,,564,,,,,,,,
Genoa,32,27.8,,38,418,"3,420",38.0,42,29,71,40,2,2,69,5,1.11,0.76,1.87,1.05,1.82,32,38.0,69,5,,584,,,,,,,,
Inter,30,29.5,,38,418,"3,420",38.0,68,48,116,63,5,6,56,3,1.79,1.26,3.05,1.66,2.92,30,38.0,56,3,,432,,,,,,,,
Juventus,32,27.4,,38,418,"3,420",38.0,56,35,91,52,4,4,74,5,1.47,0.92,2.39,1.37,2.29,32,38.0,74,5,,588,,,,,,,,
Lazio,25,28.0,,38,418,"3,420",38.0,52,40,92,48,4,5,73,7,1.37,1.05,2.42,1.26,2.32,25,38.0,73,7,,530,,,,,,,,
Lecce,26,27.4,,38,418,"3,420",38.0,45,31,76,43,2,5,89,9,1.18,0.82,2.00,1.13,1.95,26,38.0,89,9,,664,,,,,,,,
Milan,34,29.2,,38,418,"3,420",38.0,63,47,110,58,5,6,69,5,1.66,1.24,2.89,1.53,2.76,34,38.0,69,5,,541,,,,,,,,
Napoli,24,27.7,,38,418,"3,420",38.0,58,45,103,51,7,10,101,5,1.53,1.18,2.71,1.34,2.53,24,38.0,101,5,,558,,,,,,,,
Palermo,27,24.9,,38,418,"3,420",38.0,58,31,89,56,2,4,82,3,1.53,0.82,2.34,1.47,2.29,27,38.0,82,3,,505,,,,,,,,
Parma,31,28.1,,38,418,"3,420",38.0,39,17,56,36,3,3,93,7,1.03,0.45,1.47,0.95,1.39,31,38.0,93,7,,624,,,,,,,,
Roma,29,29.7,,38,418,"3,420",38.0,57,33,90,46,11,13,84,9,1.50,0.87,2.37,1.21,2.08,29,38.0,84,9,,518,,,,,,,,
Sampdoria,30,26.0,,38,418,"3,420",38.0,32,13,45,25,7,8,84,5,0.84,0.34,1.18,0.66,1.00,30,38.0,84,5,,529,,,,,,,,
Udinese,24,25.6,,38,418,"3,420",38.0,65,41,106,60,5,7,77,7,1.71,1.08,2.79,1.58,2.66,24,38.0,77,7,,567,,,,,,,,
