team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arsenal,25,25.1,,38,417,"3,420",38.0,60,48,108,50,10,11,60,3,1.58,1.26,2.84,1.32,2.58,25,38.0,60,3,,367,,,,,,,,
Aston Villa,30,25.5,,38,436,"3,420",38.0,45,31,76,39,6,8,48,1,1.18,0.82,2.00,1.03,1.84,30,38.0,48,1,,541,,,,,,,,
Blackburn,29,28.2,,38,399,"3,420",38.0,49,33,82,44,5,7,84,8,1.29,0.87,2.16,1.16,2.03,29,38.0,84,8,,497,,,,,,,,
Bolton,23,28.2,,38,423,"3,420",38.0,45,35,80,39,6,7,85,4,1.18,0.92,2.11,1.03,1.95,23,38.0,85,4,,528,,,,,,,,
Charlton Ath,29,27.0,,38,429,"3,420",38.0,32,22,54,28,4,4,60,4,0.84,0.58,1.42,0.74,1.32,29,38.0,60,4,,443,,,,,,,,
Chelsea,26,26.7,,38,418,"3,420",38.0,58,49,107,55,3,4,66,4,1.53,1.29,2.82,1.45,2.74,26,38.0,66,4,,437,,,,,,,,
Everton,26,27.0,,38,411,"3,420",38.0,50,35,85,42,8,8,69,2,1.32,0.92,2.24,1.11,2.03,26,38.0,69,2,,523,,,,,,,,
Fulham,25,28.2,,38,424,"3,420",38.0,36,27,63,33,3,3,60,3,0.95,0.71,1.66,0.87,1.58,25,38.0,60,3,,459,,,,,,,,
Liverpool,29,26.1,,38,419,"3,420",38.0,56,44,100,50,6,7,43,0,1.47,1.16,2.63,1.32,2.47,29,38.0,43,0,,446,,,,,,,,
Manchester City,29,26.1,,38,394,"3,420",38.0,28,21,49,26,2,4,62,4,0.74,0.55,1.29,0.68,1.24,29,38.0,62,4,,493,,,,,,,,
Manchester Utd,25,27.3,,38,418,"3,420",38.0,80,60,140,75,5,6,58,1,2.11,1.58,3.68,1.97,3.55,25,38.0,58,1,,426,,,,,,,,
Middlesbrough,27,25.4,,38,418,"3,420",38.0,43,33,76,39,4,5,66,2,1.13,0.87,2.00,1.03,1.89,27,38.0,66,2,,489,,,,,,,,
Newcastle Utd,29,26.1,,38,418,"3,420",38.0,38,26,64,33,5,5,67,1,1.00,0.68,1.68,0.87,1.55,29,38.0,67,1,,461,,,,,,,,
Portsmouth,25,28.3,,38,405,"3,420",38.0,40,31,71,38,2,3,51,1,1.05,0.82,1.87,1.00,1.82,25,38.0,51,1,,505,,,,,,,,
Reading,23,26.9,,38,418,"3,420",38.0,48,38,86,45,3,3,41,3,1.26,1.00,2.26,1.18,2.18,23,38.0,41,3,,400,,,,,,,,
Sheffield Utd,32,26.0,,38,408,"3,420",38.0,31,21,52,29,2,4,68,2,0.82,0.55,1.37,0.76,1.32,32,38.0,68,2,,438,,,,,,,,
Tottenham,26,25.1,,38,418,"3,420",38.0,56,37,93,51,5,5,47,4,1.47,0.97,2.45,1.34,2.32,26,38.0,47,4,0,410,,,,,,,,
Watford,33,25.2,,38,390,"3,420",38.0,24,18,42,21,3,3,49,2,0.63,0.47,1.11,0.55,1.03,33,38.0,49,2,,517,,,,,,,,
West Ham,30,25.4,,38,442,"3,420",38.0,35,26,61,34,1,3,86,2,0.92,0.68,1.61,0.89,1.58,30,38.0,86,2,0,557,,,,,,,,
Wigan Athletic,30,27.7,,38,415,"3,420",38.0,37,24,61,34,3,6,77,3,0.97,0.63,1.61,0.89,1.53,30,38.0,77,3,,510,,,,,,,,
