team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Alavés,22,27.5,,38,418,"3,420",38.0,39,22,61,35,4,4,135,8,1.03,0.58,1.61,0.92,1.50,22,38.0,135,8,,699,,,,,,,,
Athletic Club,26,26.6,,38,418,"3,420",38.0,54,31,85,50,4,5,108,6,1.42,0.82,2.24,1.32,2.13,26,38.0,108,6,,657,,,,,,,,
Barcelona,27,25.7,,38,418,"3,420",38.0,63,35,98,60,3,4,88,3,1.66,0.92,2.58,1.58,2.50,27,38.0,88,3,,636,,,,,,,,
Betis,28,25.6,,38,417,"3,420",38.0,40,26,66,33,7,9,110,7,1.05,0.68,1.74,0.87,1.55,28,38.0,110,7,,701,,,,,,,,
Celta Vigo,25,27.6,,38,418,"3,420",38.0,63,31,94,58,5,8,123,10,1.66,0.82,2.47,1.53,2.34,25,38.0,123,10,,744,,,,,,,,
Espanyol,30,24.0,,38,418,"3,420",38.0,47,28,75,42,5,7,122,8,1.24,0.74,1.97,1.11,1.84,30,38.0,122,8,,703,,,,,,,,
La Coruña,25,28.1,,38,418,"3,420",38.0,64,42,106,60,4,6,80,4,1.68,1.11,2.79,1.58,2.68,25,38.0,80,4,,657,,,,,,,,
Las Palmas,25,27.0,,38,418,"3,420",38.0,40,18,58,29,11,12,118,7,1.05,0.47,1.53,0.76,1.24,25,38.0,118,7,,580,,,,,,,,
Málaga,25,27.2,,38,418,"3,420",38.0,43,25,68,38,5,5,129,8,1.13,0.66,1.79,1.00,1.66,25,38.0,129,8,,689,,,,,,,,
Mallorca,24,28.3,,38,418,"3,420",38.0,40,24,64,35,5,6,95,5,1.05,0.63,1.68,0.92,1.55,24,38.0,95,5,,459,,,,,,,,
Osasuna,26,27.4,,38,418,"3,420",38.0,34,22,56,33,1,2,98,4,0.89,0.58,1.47,0.87,1.45,26,38.0,98,4,,561,,,,,,,,
Rayo Vallecano,28,28.1,,38,412,"3,420",38.0,41,26,67,35,6,7,103,10,1.08,0.68,1.76,0.92,1.61,28,38.0,103,10,,609,,,,,,,,
Real Madrid,27,26.5,,38,413,"3,420",38.0,66,39,105,62,4,4,86,2,1.74,1.03,2.76,1.63,2.66,27,38.0,86,2,,611,,,,,,,,
Real Sociedad,28,26.4,,38,418,"3,420",38.0,48,31,79,45,3,3,89,4,1.26,0.82,2.08,1.18,2.00,28,38.0,89,4,,626,,,,,,,,
Sevilla,26,26.7,,38,425,"3,420",38.0,51,29,80,43,8,8,126,8,1.34,0.76,2.11,1.13,1.89,26,38.0,126,8,,647,,,,,,,,
Tenerife,30,26.5,,38,418,"3,420",38.0,32,18,50,29,3,4,126,8,0.84,0.47,1.32,0.76,1.24,30,38.0,126,8,,721,,,,,,,,
Valencia,27,26.8,,38,418,"3,420",38.0,50,31,81,49,1,2,112,5,1.32,0.82,2.13,1.29,2.11,27,38.0,112,5,,817,,,,,,,,
Valladolid,25,26.5,,38,418,"3,420",38.0,45,24,69,38,7,9,97,3,1.18,0.63,1.82,1.00,1.63,25,38.0,97,3,,499,,,,,,,,
Villarreal,21,26.9,,38,418,"3,420",38.0,46,27,73,42,4,4,118,4,1.21,0.71,1.92,1.11,1.82,21,38.0,118,4,,603,,,,,,,,
Zaragoza,27,28.3,,38,416,"3,420",38.0,35,19,54,32,3,5,98,6,0.92,0.50,1.42,0.84,1.34,27,38.0,98,6,,613,,,,,,,,
