team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,25,25.7,55.4,38,418,"3,420",38.0,57,38,95,52,5,9,66,,64.1,57.2,44.7,101.8,933,1920,1.50,1.00,2.50,1.37,2.37,1.69,1.18,2.86,1.50,2.68,25,38.0,66,,3,490,465,79,751,476,488,9,2,0,2469,563,519,52.0
Benevento,41,26.0,47.5,38,418,"3,420",38.0,32,23,55,30,2,3,79,,38.3,36.0,28.8,64.7,772,1216,0.84,0.61,1.45,0.79,1.39,1.01,0.76,1.77,0.95,1.70,41,38.0,79,,4,486,465,83,661,449,409,2,13,2,1892,410,501,45.0
Bologna,30,26.8,46.8,38,418,"3,420",38.0,37,18,55,35,2,3,101,,36.6,34.3,24.3,58.6,586,1344,0.97,0.47,1.45,0.92,1.39,0.96,0.64,1.60,0.90,1.54,30,38.0,101,,4,482,466,66,553,462,456,2,4,3,1855,593,571,50.9
Cagliari,29,27.1,45.3,38,418,"3,420",38.0,33,21,54,29,4,7,96,,39.7,34.2,27.4,61.6,464,1348,0.87,0.55,1.42,0.76,1.32,1.04,0.72,1.77,0.90,1.62,29,38.0,96,,4,611,458,84,732,431,447,5,12,1,1901,743,600,55.3
Chievo,25,30.3,44.4,38,418,"3,420",38.0,36,20,56,35,1,2,75,,34.1,32.5,25.2,57.7,554,1358,0.95,0.53,1.47,0.92,1.45,0.90,0.66,1.56,0.85,1.52,25,38.0,75,,1,478,460,102,801,444,367,2,7,4,1932,645,657,49.5
Crotone,29,25.6,39.9,38,418,"3,420",38.0,38,21,59,36,2,3,65,,34.6,32.2,23.4,55.6,472,1250,1.00,0.55,1.55,0.95,1.50,0.91,0.62,1.53,0.85,1.46,29,38.0,65,,1,501,466,88,635,578,440,2,8,0,2102,620,744,45.5
Fiorentina,27,25.0,52.6,38,418,"3,420",38.0,53,32,85,46,7,8,89,,54.5,48.3,37.9,86.2,737,1695,1.39,0.84,2.24,1.21,2.05,1.43,1.00,2.43,1.27,2.27,27,38.0,89,,3,551,428,82,823,489,497,6,3,0,2146,566,612,48.0
Genoa,33,27.9,46.3,38,418,"3,420",38.0,31,18,49,27,4,5,75,,43.5,39.6,31.9,71.5,699,1475,0.82,0.47,1.29,0.71,1.18,1.15,0.84,1.99,1.04,1.88,33,38.0,75,,0,555,474,86,769,394,395,5,4,2,2022,561,589,48.8
Hellas Verona,32,25.9,41.9,38,418,"3,420",38.0,30,19,49,23,7,7,98,,33.0,27.7,21.1,48.8,635,1077,0.79,0.50,1.29,0.61,1.11,0.87,0.56,1.42,0.73,1.28,32,38.0,98,,4,511,404,79,665,541,459,3,8,2,1883,555,642,46.4
Inter,22,27.6,57.1,38,418,"3,420",38.0,64,34,98,58,6,7,69,,56.7,51.3,43.8,95.2,947,1877,1.68,0.89,2.58,1.53,2.42,1.49,1.15,2.65,1.35,2.51,22,38.0,69,,0,452,395,94,1042,402,435,6,2,4,2140,538,477,53.0
