team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,30,26.5,46.4,34,374,"3,060",34.0,50,33,83,45,5,5,55,1,45.3,41.8,32.0,73.9,515,1158,1.47,0.97,2.44,1.32,2.29,1.33,0.94,2.28,1.23,2.17,30,34.0,55,1,0,458,349,85,603,467,376,2,2,2,1875,654,699,48.3
Bayern Munich,24,27.4,65.7,34,374,"3,060",34.0,86,62,148,83,3,4,44,2,85.6,82.4,66.1,148.5,960,2192,2.53,1.82,4.35,2.44,4.26,2.52,1.94,4.46,2.42,4.37,24,34.0,44,2,2,312,342,88,777,336,294,4,6,1,1979,522,444,54.0
Dortmund,23,24.8,58.1,34,374,"3,060",34.0,80,60,140,76,4,4,40,3,61.5,58.4,46.0,104.4,784,1637,2.35,1.76,4.12,2.24,4.00,1.81,1.35,3.16,1.72,3.07,23,34.0,40,3,0,292,385,66,458,384,319,3,5,0,1784,461,472,49.4
Düsseldorf,24,26.9,43.2,34,374,"3,060",34.0,48,35,83,43,5,7,67,1,47.1,41.6,32.2,73.8,553,1202,1.41,1.03,2.44,1.26,2.29,1.39,0.95,2.33,1.22,2.17,24,34.0,67,1,0,432,404,49,544,419,384,3,7,0,1725,609,608,50.0
Eint Frankfurt,30,26.4,47.2,34,374,"3,060",34.0,60,42,102,56,4,4,60,3,57.2,54.4,42.9,97.3,625,1247,1.76,1.24,3.00,1.65,2.88,1.68,1.26,2.95,1.60,2.86,30,34.0,60,3,2,420,346,81,678,360,371,1,1,1,2032,819,712,53.5
Freiburg,28,25.8,44.0,34,374,"3,060",34.0,44,25,69,39,5,6,57,3,40.9,36.2,26.5,62.6,507,1064,1.29,0.74,2.03,1.15,1.88,1.20,0.78,1.98,1.06,1.84,28,34.0,57,3,3,412,408,51,528,374,357,4,7,0,1649,553,669,45.3
Gladbach,22,26.5,53.1,34,374,"3,060",34.0,53,43,96,49,4,7,43,0,52.2,46.7,36.7,83.4,775,1532,1.56,1.26,2.82,1.44,2.71,1.54,1.08,2.62,1.37,2.45,22,34.0,43,0,0,333,357,70,565,310,292,5,3,0,1680,426,549,43.7
Hannover 96,32,26.3,46.3,34,374,"3,060",34.0,30,20,50,27,3,3,64,4,37.2,34.9,27.2,62.0,572,1105,0.88,0.59,1.47,0.79,1.38,1.10,0.80,1.89,1.03,1.82,32,34.0,64,4,3,421,420,58,522,459,342,2,7,1,1788,617,716,46.3
Hertha BSC,26,25.9,47.9,34,374,"3,060",34.0,49,32,81,45,4,4,67,5,51.0,48.0,36.8,84.8,562,1241,1.44,0.94,2.38,1.32,2.26,1.50,1.08,2.58,1.41,2.49,26,34.0,67,5,3,447,374,75,554,381,352,3,6,2,1746,693,640,52.0
Hoffenheim,29,25.5,53.8,34,374,"3,060",34.0,69,49,118,63,6,7,69,2,75.9,70.5,56.8,127.3,950,1589,2.03,1.44,3.47,1.85,3.29,2.23,1.67,3.90,2.07,3.74,29,34.0,69,2,2,471,348,66,667,399,363,5,7,1,1847,521,531,49.5
Leverkusen,21,25.3,59.8,34,374,"3,060",34.0,68,51,119,64,4,5,50,1,58.3,54.4,43.8,98.2,719,1791,2.00,1.50,3.50,1.88,3.38,1.71,1.29,3.00,1.60,2.89,21,34.0,50,1,0,367,383,65,633,358,368,3,6,3,2020,541,554,49.4
Mainz 05,28,24.2,46.1,34,374,"3,060",34.0,44,30,74,41,3,3,56,0,51.2,48.8,37.5,86.3,624,1261,1.29,0.88,2.18,1.21,2.09,1.51,1.10,2.61,1.44,2.54,28,34.0,56,0,0,430,359,83,646,395,309,3,4,0,1843,658,627,51.2
Nürnberg,27,24.9,42.4,34,374,"3,060",34.0,25,16,41,23,2,6,59,4,35.7,30.9,21.1,52.0,483,989,0.74,0.47,1.21,0.68,1.15,1.05,0.62,1.67,0.91,1.53,27,34.0,59,4,1,394,381,53,495,354,350,5,4,2,1646,621,669,48.1
RB Leipzig,23,24.0,49.6,34,374,"3,060",34.0,63,41,104,58,5,7,61,1,65.7,60.2,46.0,106.2,733,1607,1.85,1.21,3.06,1.71,2.91,1.93,1.35,3.29,1.77,3.12,23,34.0,61,1,0,465,393,87,616,416,398,3,6,1,1998,743,603,55.2
Schalke 04,32,25.8,45.4,34,374,"3,060",34.0,37,23,60,30,7,9,73,5,45.6,39.0,29.7,68.7,676,1148,1.09,0.68,1.76,0.88,1.56,1.34,0.87,2.21,1.15,2.02,32,34.0,73,5,1,454,397,79,521,419,381,7,6,1,1886,600,559,51.8
Stuttgart,26,26.3,45.9,34,374,"3,060",34.0,32,26,58,31,1,1,66,5,38.0,37.3,28.2,65.5,506,1130,0.94,0.76,1.71,0.91,1.68,1.12,0.83,1.95,1.10,1.93,26,34.0,66,5,2,374,399,67,727,399,362,0,3,4,1720,723,691,51.1
Werder Bremen,24,27.1,52.1,34,374,"3,060",34.0,57,38,95,53,4,4,64,3,49.8,46.7,33.7,80.3,635,1672,1.68,1.12,2.79,1.56,2.68,1.46,0.99,2.45,1.37,2.36,24,34.0,64,3,3,437,346,40,676,407,344,4,5,0,1825,605,662,47.8
Wolfsburg,25,25.4,53.3,34,374,"3,060",34.0,59,38,97,54,5,5,62,0,47.6,43.8,33.0,76.9,618,1320,1.74,1.12,2.85,1.59,2.71,1.40,0.97,2.37,1.29,2.26,25,34.0,62,0,0,358,439,67,682,426,343,3,6,0,1813,610,573,51.6
