team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Atalanta,31,27.8,,38,418,"3,420",38.0,37,16,53,34,3,4,119,8,0.97,0.42,1.39,0.89,1.32,31,38.0,119,8,,625,,,,,,,,
Bari,30,26.6,,38,418,"3,420",38.0,48,21,69,43,5,6,68,4,1.26,0.55,1.82,1.13,1.68,30,38.0,68,4,,628,,,,,,,,
Bologna,31,28.9,,38,418,"3,420",38.0,40,17,57,37,3,3,74,3,1.05,0.45,1.50,0.97,1.42,31,38.0,74,3,,705,,,,,,,,
Cagliari,27,26.6,,38,418,"3,420",38.0,54,30,84,48,6,7,90,7,1.42,0.79,2.21,1.26,2.05,27,38.0,90,7,,643,,,,,,,,
Catania,30,26.5,,38,418,"3,420",38.0,44,19,63,37,7,9,105,7,1.16,0.50,1.66,0.97,1.47,30,38.0,105,7,,776,,,,,,,,
Chievo,26,29.1,,38,418,"3,420",38.0,36,16,52,35,1,1,110,5,0.95,0.42,1.37,0.92,1.34,26,38.0,110,5,,773,,,,,,,,
Fiorentina,28,27.1,,38,418,"3,420",38.0,48,27,75,46,2,3,89,6,1.26,0.71,1.97,1.21,1.92,28,38.0,89,6,,697,,,,,,,,
Genoa,32,27.4,,38,418,"3,420",38.0,57,24,81,48,9,10,109,7,1.50,0.63,2.13,1.26,1.89,32,38.0,109,7,,759,,,,,,,,
Inter,26,29.2,,38,418,"3,420",38.0,74,44,118,68,6,6,97,7,1.95,1.16,3.11,1.79,2.95,26,38.0,97,7,,631,,,,,,,,
Juventus,30,28.6,,38,418,"3,420",38.0,54,24,78,51,3,4,103,6,1.42,0.63,2.05,1.34,1.97,30,38.0,103,6,,723,,,,,,,,
Lazio,32,27.8,,38,418,"3,420",38.0,38,24,62,35,3,5,103,6,1.00,0.63,1.63,0.92,1.55,32,38.0,103,6,,702,,,,,,,,
Livorno,36,27.6,,38,418,"3,420",38.0,27,17,44,24,3,3,93,8,0.71,0.45,1.16,0.63,1.08,36,38.0,93,8,,649,,,,,,,,
Milan,28,29.7,,38,418,"3,420",38.0,59,30,89,52,7,10,82,8,1.55,0.79,2.34,1.37,2.16,28,38.0,82,8,,580,,,,,,,,
Napoli,25,27.3,,38,418,"3,420",38.0,50,26,76,48,2,5,103,6,1.32,0.68,2.00,1.26,1.95,25,38.0,103,6,,690,,,,,,,,
Palermo,25,25.7,,38,418,"3,420",38.0,59,32,91,51,8,9,99,3,1.55,0.84,2.39,1.34,2.18,25,38.0,99,3,,597,,,,,,,,
Parma,27,27.5,,38,418,"3,420",38.0,44,20,64,42,2,4,99,7,1.16,0.53,1.68,1.11,1.63,27,38.0,99,7,,725,,,,,,,,
Roma,29,28.7,,38,418,"3,420",38.0,68,34,102,59,9,11,91,3,1.79,0.89,2.68,1.55,2.45,29,38.0,91,3,,600,,,,,,,,
Sampdoria,26,26.7,,38,418,"3,420",38.0,49,27,76,45,4,5,94,8,1.29,0.71,2.00,1.18,1.89,26,38.0,94,8,,602,,,,,,,,
Siena,29,26.5,,38,418,"3,420",38.0,40,19,59,38,2,3,101,5,1.05,0.50,1.55,1.00,1.50,29,38.0,101,5,,703,,,,,,,,
Udinese,28,25.2,,38,418,"3,420",38.0,54,25,79,48,6,7,94,3,1.42,0.66,2.08,1.26,1.92,28,38.0,94,3,,654,,,,,,,,
