team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,25,25.8,56.9,38,418,"3,420",38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,25,38.0,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3
Aston Villa,28,27.0,50.5,38,418,"3,420",38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.10,2.57,1.35,2.45,28,38.0,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2
Bournemouth,29,25.1,48.5,38,418,"3,420",38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.50,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69,29,38.0,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6
Brentford,28,25.8,47.9,38,418,"3,420",38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55,28,38.0,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4
Brighton,32,24.8,52.3,38,418,"3,420",38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.50,2.58,1.54,1.06,2.61,1.40,2.47,32,38.0,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8
Chelsea,29,23.7,57.1,38,418,"3,420",38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.50,2.74,1.78,1.39,3.17,1.68,3.07,29,38.0,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8
Crystal Palace,29,26.2,42.8,38,418,"3,420",38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.00,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73,29,38.0,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,44.6
Everton,26,28.0,40.9,38,418,"3,420",38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.10,0.85,1.95,1.06,1.91,26,38.0,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1
Fulham,26,28.1,52.3,38,418,"3,420",38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.20,26,38.0,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50.0
Ipswich Town,32,25.8,40.6,38,418,"3,420",38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.90,0.64,1.54,0.86,1.50,32,38.0,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9
Leicester City,32,26.6,45.4,38,418,"3,420",38.0,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.80,1.46,32,38.0,87,0,0,420,393,63,621,327,431,3,4,3,1478,503,579,46.5
Liverpool,24,27.2,57.7,38,418,"3,420",38.0,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,826,1924,2.24,1.71,3.95,2.00,3.71,2.16,1.62,3.78,1.98,3.60,24,38.0,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5
Manchester City,30,26.8,61.3,38,418,"3,420",38.0,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13,30,38.0,59,2,1,287,382,45,659,229,299,4,4,2,1437,310,334,48.1
Manchester Utd,31,25.5,53.5,38,418,"3,420",38.0,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.00,1.76,1.38,1.04,2.43,1.30,2.35,31,38.0,86,3,1,403,371,69,630,358,493,4,4,2,1736,486,488,49.9
Newcastle Utd,24,27.4,51.3,38,418,"3,420",38.0,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78,24,38.0,68,1,0,394,450,71,705,270,371,4,2,2,1632,487,466,51.1
Nott'ham Forest,23,26.1,41.2,38,418,"3,420",38.0,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,1.50,1.11,2.61,1.42,2.53,1.20,0.87,2.07,1.14,2.00,23,38.0,90,2,2,401,419,91,621,322,419,3,3,0,1588,570,559,50.5
Southampton,36,25.2,48.5,38,418,"3,420",38.0,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,36,38.0,89,3,0,459,421,49,548,305,378,2,9,0,1440,468,421,52.6
Tottenham,31,25.0,54.7,38,418,"3,420",38.0,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63,31,38.0,72,1,1,446,483,63,752,322,414,4,3,4,1659,422,437,49.1
