team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arsenal,26,25.6,,38,418,"3,420",38.0,69,54,123,64,5,6,46,4,1.82,1.42,3.24,1.68,3.11,26,38.0,46,4,,374,,,,,,,,
Aston Villa,28,24.1,,38,418,"3,420",38.0,47,34,81,44,3,3,75,3,1.24,0.89,2.13,1.16,2.05,28,38.0,75,3,,457,,,,,,,,
Chelsea,26,26.4,,38,418,"3,420",38.0,71,50,121,62,9,11,54,3,1.87,1.32,3.18,1.63,2.95,26,38.0,54,3,,370,,,,,,,,
Everton,23,28.8,,38,418,"3,420",38.0,53,42,95,51,2,2,63,3,1.39,1.11,2.50,1.34,2.45,23,38.0,63,3,,446,,,,,,,,
Fulham,29,30.4,,38,418,"3,420",38.0,45,32,77,39,6,6,48,3,1.18,0.84,2.03,1.03,1.87,29,38.0,48,3,,420,,,,,,,,
Liverpool,28,26.2,,38,418,"3,420",38.0,67,47,114,62,5,6,54,2,1.76,1.24,3.00,1.63,2.87,28,38.0,54,2,,399,,,,,,,,
Manchester City,25,26.7,,38,418,"3,420",38.0,64,45,109,60,4,6,64,3,1.68,1.18,2.87,1.58,2.76,25,38.0,64,3,,456,,,,,,,,
Manchester Utd,25,27.3,,38,418,"3,420",38.0,80,63,143,76,4,7,56,1,2.11,1.66,3.76,2.00,3.66,25,38.0,56,1,,371,,,,,,,,
Newcastle Utd,32,26.2,,38,418,"3,420",38.0,43,22,65,39,4,5,75,4,1.13,0.58,1.71,1.03,1.61,32,38.0,75,4,,459,,,,,,,,
Norwich City,27,26.7,,38,418,"3,420",38.0,40,27,67,39,1,2,60,1,1.05,0.71,1.76,1.03,1.74,27,38.0,60,1,,421,,,,,,,,
QPR,30,28.2,,38,418,"3,420",38.0,29,22,51,28,1,4,61,3,0.76,0.58,1.34,0.74,1.32,30,38.0,61,3,,397,,,,,,,,
Reading,28,27.2,,38,418,"3,420",38.0,41,28,69,37,4,4,45,1,1.08,0.74,1.82,0.97,1.71,28,38.0,45,1,,387,,,,,,,,
Southampton,25,25.3,,38,418,"3,420",38.0,46,25,71,43,3,3,43,2,1.21,0.66,1.87,1.13,1.79,25,38.0,43,2,,406,,,,,,,,
Stoke City,24,27.1,,38,418,"3,420",38.0,33,23,56,30,3,5,83,4,0.87,0.61,1.47,0.79,1.39,24,38.0,83,4,,485,,,,,,,,
Sunderland,29,26.2,,38,418,"3,420",38.0,39,24,63,35,4,4,63,3,1.03,0.63,1.66,0.92,1.55,29,38.0,63,3,,454,,,,,,,,
Swansea City,25,26.6,,38,418,"3,420",38.0,47,32,79,47,0,0,59,2,1.24,0.84,2.08,1.24,2.08,25,38.0,59,2,,399,,,,,,,,
Tottenham,28,26.3,,38,418,"3,420",38.0,62,45,107,62,0,0,54,2,1.63,1.18,2.82,1.63,2.82,28,38.0,54,2,,382,,,,,,,,
West Brom,25,27.6,,38,418,"3,420",38.0,50,38,88,45,5,7,62,4,1.32,1.00,2.32,1.18,2.18,25,38.0,62,4,,429,,,,,,,,
West Ham,26,28.0,,38,418,"3,420",38.0,43,33,76,39,4,4,74,1,1.13,0.87,2.00,1.03,1.89,26,38.0,74,1,,467,,,,,,,,
Wigan Athletic,28,27.7,,38,418,"3,420",38.0,45,35,80,44,1,1,66,2,1.18,0.92,2.11,1.16,2.08,28,38.0,66,2,,444,,,,,,,,
