team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Arminia,27,28.5,,34,374,"3,060",34.0,34,17,51,33,1,3,57,1,1.00,0.50,1.50,0.97,1.47,27,34.0,57,1,,446,,,,,,,,
Bayern Munich,23,27.3,,34,374,"3,060",34.0,68,45,113,66,2,4,50,3,2.00,1.32,3.32,1.94,3.26,23,34.0,50,3,,460,,,,,,,,
Bochum,25,27.6,,34,374,"3,060",34.0,46,25,71,44,2,2,68,1,1.35,0.74,2.09,1.29,2.03,25,34.0,68,1,,613,,,,,,,,
Dortmund,32,27.1,,34,374,"3,060",34.0,48,25,73,47,1,2,69,5,1.41,0.74,2.15,1.38,2.12,32,34.0,69,5,,572,,,,,,,,
Eint Frankfurt,28,26.4,,34,374,"3,060",34.0,42,24,66,40,2,2,57,0,1.24,0.71,1.94,1.18,1.88,28,34.0,57,0,,523,,,,,,,,
Energie Cottbus,26,28.7,,34,374,"3,060",34.0,35,18,53,32,3,3,72,1,1.03,0.53,1.56,0.94,1.47,26,34.0,72,1,,575,,,,,,,,
Hamburger SV,26,26.1,,34,374,"3,060",34.0,47,29,76,44,3,4,55,3,1.38,0.85,2.24,1.29,2.15,26,34.0,55,3,,575,,,,,,,,
Hannover 96,26,27.8,,34,374,"3,060",34.0,53,23,76,48,5,6,72,5,1.56,0.68,2.24,1.41,2.09,26,34.0,72,5,,574,,,,,,,,
Hansa Rostock,27,25.7,,34,374,"3,060",34.0,29,15,44,28,1,1,62,0,0.85,0.44,1.29,0.82,1.26,27,34.0,62,0,,509,,,,,,,,
Hertha BSC,28,25.9,,34,374,"3,060",34.0,38,18,56,34,4,5,54,0,1.12,0.53,1.65,1.00,1.53,28,34.0,54,0,,509,,,,,,,,
Karlsruher,22,26.4,,34,374,"3,060",34.0,37,23,60,37,0,1,59,1,1.09,0.68,1.76,1.09,1.76,22,34.0,59,1,,481,,,,,,,,
Leverkusen,25,25.5,,34,374,"3,060",34.0,53,30,83,47,6,6,65,2,1.56,0.88,2.44,1.38,2.26,25,34.0,65,2,,606,,,,,,,,
MSV Duisburg,30,27.2,,34,374,"3,060",34.0,36,15,51,34,2,2,90,5,1.06,0.44,1.50,1.00,1.44,30,34.0,90,5,,627,,,,,,,,
Nürnberg,27,27.5,,34,374,"3,060",34.0,35,18,53,32,3,4,66,3,1.03,0.53,1.56,0.94,1.47,27,34.0,66,3,,511,,,,,,,,
Schalke 04,25,25.8,,34,374,"3,060",34.0,52,30,82,50,2,2,57,2,1.53,0.88,2.41,1.47,2.35,25,34.0,57,2,,507,,,,,,,,
Stuttgart,28,25.5,,34,374,"3,060",34.0,56,29,85,53,3,3,66,6,1.65,0.85,2.50,1.56,2.41,28,34.0,66,6,,473,,,,,,,,
Werder Bremen,29,25.3,,34,374,"3,060",34.0,75,39,114,71,4,6,71,7,2.21,1.15,3.35,2.09,3.24,29,34.0,71,7,,583,,,,,,,,
Wolfsburg,29,25.6,,34,374,"3,060",34.0,56,31,87,54,2,3,65,3,1.65,0.91,2.56,1.59,2.50,29,34.0,65,3,,622,,,,,,,,
