team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Angers,29,27.2,42.5,38,418,"3,420",38.0,40,25,65,36,4,5,71,0,1.05,0.66,1.71,0.95,1.61,29,38.0,71,0,,584,,,,,,,,
Bastia,26,28.7,43.4,38,418,"3,420",38.0,34,20,54,32,2,2,85,0,0.89,0.53,1.42,0.84,1.37,26,38.0,85,0,,525,,,,,,,,
Bordeaux,35,24.9,50.8,38,418,"3,420",38.0,48,33,81,47,1,2,86,0,1.26,0.87,2.13,1.24,2.11,35,38.0,86,0,,492,,,,,,,,
Caen,24,28.2,40.2,38,418,"3,420",38.0,38,22,60,33,5,6,58,0,1.00,0.58,1.58,0.87,1.45,24,38.0,58,0,,455,,,,,,,,
Gazélec Ajaccio,23,28.4,47.0,38,418,"3,420",38.0,36,26,62,33,3,3,98,0,0.95,0.68,1.63,0.87,1.55,23,38.0,98,0,,575,,,,,,,,
Guingamp,28,28.4,42.8,38,418,"3,420",38.0,46,36,82,44,2,3,81,0,1.21,0.95,2.16,1.16,2.11,28,38.0,81,0,,505,,,,,,,,
Lille,32,27.1,51.1,38,418,"3,420",38.0,38,28,66,35,3,3,86,0,1.00,0.74,1.74,0.92,1.66,32,38.0,86,0,,572,,,,,,,,
Lorient,31,25.4,49.0,38,418,"3,420",38.0,46,30,76,39,7,7,66,0,1.21,0.79,2.00,1.03,1.82,31,38.0,66,0,,478,,,,,,,,
Lyon,30,25.5,61.3,38,418,"3,420",38.0,66,44,110,63,3,3,69,0,1.74,1.16,2.89,1.66,2.82,30,38.0,69,0,,521,,,,,,,,
Marseille,28,25.0,56.6,38,418,"3,420",38.0,48,35,83,46,2,4,74,0,1.26,0.92,2.18,1.21,2.13,28,38.0,74,0,,521,,,,,,,,
Monaco,31,26.1,48.1,38,418,"3,420",38.0,54,36,90,48,6,8,86,0,1.42,0.95,2.37,1.26,2.21,31,38.0,86,0,,547,,,,,,,,
Montpellier,30,27.1,49.8,38,418,"3,420",38.0,46,34,80,44,2,2,62,0,1.21,0.89,2.11,1.16,2.05,30,38.0,62,0,,470,,,,,,,,
Nantes,29,25.8,49.2,38,418,"3,420",38.0,30,25,55,30,0,0,81,0,0.79,0.66,1.45,0.79,1.45,29,38.0,81,0,,606,,,,,,,,
Nice,33,24.2,57.9,38,418,"3,420",38.0,55,43,98,50,5,5,68,0,1.45,1.13,2.58,1.32,2.45,33,38.0,68,0,,461,,,,,,,,
Paris S-G,28,27.0,66.5,38,418,"3,420",38.0,101,72,173,95,6,8,47,0,2.66,1.89,4.55,2.50,4.39,28,38.0,47,0,,392,,,,,,,,
Reims,31,26.9,47.6,38,418,"3,420",38.0,43,30,73,41,2,3,88,0,1.13,0.79,1.92,1.08,1.87,31,38.0,88,0,,514,,,,,,,,
Rennes,31,26.2,50.4,38,418,"3,420",38.0,48,32,80,45,3,7,74,,1.26,0.84,2.11,1.18,2.03,31,38.0,74,,,498,,,,,,,,
Saint-Étienne,31,27.2,51.5,38,418,"3,420",38.0,39,27,66,36,3,4,76,,1.03,0.71,1.74,0.95,1.66,31,38.0,76,,,592,,,,,,,,
Toulouse,25,23.8,46.6,38,418,"3,420",38.0,43,28,71,39,4,6,80,,1.13,0.74,1.87,1.03,1.76,25,38.0,80,,,537,,,,,,,,
Troyes,33,26.5,48.2,38,418,"3,420",38.0,27,18,45,24,3,3,76,0,0.71,0.47,1.18,0.63,1.11,33,38.0,76,0,,418,,,,,,,,
