team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arminia,26,26.0,42.3,34,374,"3,060",34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.70,1.67,0.92,1.62,26,34.0,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51.0
Augsburg,25,27.0,41.4,34,374,"3,060",34.0,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.10,0.76,1.86,0.98,1.74,25,34.0,71,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8
Bayern Munich,29,27.3,60.7,34,374,"3,060",34.0,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2.00,3.63,29,34.0,44,3,0,317,374,74,828,399,316,7,3,0,2050,430,409,51.3
Dortmund,26,25.6,59.6,34,374,"3,060",34.0,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2.18,1.68,3.85,2.09,3.76,1.95,1.50,3.45,1.78,3.28,26,34.0,44,1,1,359,373,69,532,413,318,6,6,1,2023,432,350,55.2
Eint Frankfurt,25,27.2,53.7,34,374,"3,060",34.0,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548,1.85,1.53,3.38,1.62,3.15,1.72,1.29,3.01,1.54,2.83,25,34.0,82,1,1,459,366,69,776,428,352,6,6,2,2094,604,552,52.2
Freiburg,24,26.2,47.3,34,374,"3,060",34.0,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.50,1.00,2.50,1.32,2.32,1.34,0.87,2.21,1.20,2.07,24,34.0,62,0,0,437,401,56,636,452,247,5,6,2,1718,588,637,48.0
Gladbach,23,26.9,51.7,34,374,"3,060",34.0,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,612,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46,23,34.0,61,2,0,395,412,82,561,436,307,9,6,0,1914,512,488,51.2
Hertha BSC,32,25.4,49.6,34,374,"3,060",34.0,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95,32,34.0,67,3,2,469,428,77,585,417,270,6,8,1,1743,527,513,50.7
Hoffenheim,30,25.7,51.2,34,374,"3,060",34.0,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.50,1.12,2.62,1.35,2.47,1.53,1.10,2.62,1.39,2.49,30,34.0,68,4,2,442,407,49,658,431,296,4,9,2,1896,516,620,45.4
Köln,28,24.9,46.3,34,374,"3,060",34.0,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131,0.97,0.68,1.65,0.85,1.53,1.19,0.75,1.94,1.06,1.81,28,34.0,63,1,1,422,429,57,655,429,328,4,9,0,1948,607,614,49.7
Leverkusen,30,25.4,59.7,34,374,"3,060",34.0,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,1.53,1.21,2.74,1.44,2.65,1.36,1.02,2.38,1.29,2.32,30,34.0,58,0,0,433,335,72,674,322,282,1,2,2,2006,444,487,47.7
Mainz 05,31,25.8,40.7,34,374,"3,060",34.0,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,1.15,0.68,1.82,1.00,1.68,1.47,1.03,2.49,1.35,2.38,31,34.0,63,1,1,500,379,57,605,500,364,4,7,1,1923,613,650,48.5
RB Leipzig,25,25.0,59.7,34,374,"3,060",34.0,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1718,1.74,1.29,3.03,1.50,2.79,1.89,1.28,3.18,1.67,2.95,25,34.0,57,0,0,435,404,81,649,353,305,9,3,0,2060,622,466,57.2
