team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ajaccio,25,27.4,,38,418,"3,420",38.0,39,23,62,35,4,6,95,9,1.03,0.61,1.63,0.92,1.53,25,38.0,95,9,,603,,,,,,,,
Auxerre,29,27.0,,38,418,"3,420",38.0,46,28,74,45,1,1,87,5,1.21,0.74,1.95,1.18,1.92,29,38.0,87,5,,609,,,,,,,,
Bordeaux,26,26.7,,38,418,"3,420",38.0,53,30,83,46,7,9,64,4,1.39,0.79,2.18,1.21,2.00,26,38.0,64,4,,578,,,,,,,,
Brest,31,27.4,,38,418,"3,420",38.0,31,15,46,27,4,6,73,5,0.82,0.39,1.21,0.71,1.11,31,38.0,73,5,,669,,,,,,,,
Caen,23,26.3,,38,418,"3,420",38.0,39,21,60,33,6,6,72,6,1.03,0.55,1.58,0.87,1.42,23,38.0,72,6,,678,,,,,,,,
Dijon,29,24.4,,38,418,"3,420",38.0,38,19,57,35,3,4,82,7,1.00,0.50,1.50,0.92,1.42,29,38.0,82,7,,579,,,,,,,,
Evian,28,27.1,,38,418,"3,420",38.0,52,26,78,47,5,6,83,5,1.37,0.68,2.05,1.24,1.92,28,38.0,83,5,,614,,,,,,,,
Lille,24,27.0,,38,418,"3,420",38.0,70,42,112,58,12,13,68,4,1.84,1.11,2.95,1.53,2.63,24,38.0,68,4,,541,,,,,,,,
Lorient,33,25.8,,38,418,"3,420",38.0,34,22,56,31,3,3,67,4,0.89,0.58,1.47,0.82,1.39,33,38.0,67,4,,449,,,,,,,,
Lyon,28,25.5,,38,418,"3,420",38.0,62,35,97,56,6,6,62,6,1.63,0.92,2.55,1.47,2.39,28,38.0,62,6,,596,,,,,,,,
Marseille,24,26.3,,38,418,"3,420",38.0,44,30,74,41,3,4,74,5,1.16,0.79,1.95,1.08,1.87,24,38.0,74,5,,579,,,,,,,,
Montpellier,23,26.3,,38,418,"3,420",38.0,65,36,101,58,7,10,71,7,1.71,0.95,2.66,1.53,2.47,23,38.0,71,7,,610,,,,,,,,
Nancy,31,25.6,,38,418,"3,420",38.0,37,26,63,34,3,4,60,2,0.97,0.68,1.66,0.89,1.58,31,38.0,60,2,,620,,,,,,,,
Nice,31,26.0,,38,418,"3,420",38.0,38,21,59,31,7,9,70,7,1.00,0.55,1.55,0.82,1.37,31,38.0,70,7,,610,,,,,,,,
Paris S-G,24,26.9,,38,418,"3,420",38.0,74,53,127,64,10,10,81,4,1.95,1.39,3.34,1.68,3.08,24,38.0,81,4,,585,,,,,,,,
Rennes,27,24.1,,38,418,"3,420",38.0,52,35,87,46,6,7,68,3,1.37,0.92,2.29,1.21,2.13,27,38.0,68,3,,568,,,,,,,,
Saint-Étienne,30,25.1,,38,418,"3,420",38.0,45,31,76,43,2,2,72,5,1.18,0.82,2.00,1.13,1.95,30,38.0,72,5,,551,,,,,,,,
Sochaux,31,24.9,,38,418,"3,420",38.0,38,21,59,35,3,3,50,7,1.00,0.55,1.55,0.92,1.47,31,38.0,50,7,,533,,,,,,,,
Toulouse,26,23.9,,38,418,"3,420",38.0,35,22,57,32,3,5,76,8,0.92,0.58,1.50,0.84,1.42,26,38.0,76,8,,675,,,,,,,,
Valenciennes,26,26.5,,38,418,"3,420",38.0,38,19,57,33,5,6,67,4,1.00,0.50,1.50,0.87,1.37,26,38.0,67,4,,640,,,,,,,,
