team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ajaccio,28,28.5,,38,418,"3,420",38.0,37,22,59,33,4,5,73,7,0.97,0.58,1.55,0.87,1.45,28,38.0,73,7,,582,,,,,,,,
Bastia,29,27.8,,38,418,"3,420",38.0,49,32,81,44,5,7,83,7,1.29,0.84,2.13,1.16,2.00,29,38.0,83,7,,540,,,,,,,,
Bordeaux,26,27.0,,38,418,"3,420",38.0,39,29,68,37,2,4,66,3,1.03,0.76,1.79,0.97,1.74,26,38.0,66,3,,488,,,,,,,,
Brest,33,26.3,,38,418,"3,420",38.0,31,19,50,26,5,5,70,4,0.82,0.50,1.32,0.68,1.18,33,38.0,70,4,,590,,,,,,,,
Evian,30,27.6,,38,418,"3,420",38.0,44,32,76,41,3,3,75,3,1.16,0.84,2.00,1.08,1.92,30,38.0,75,3,,557,,,,,,,,
Lille,25,26.9,,38,418,"3,420",38.0,56,42,98,54,2,3,59,3,1.47,1.11,2.58,1.42,2.53,25,38.0,59,3,,532,,,,,,,,
Lorient,30,26.5,,38,418,"3,420",38.0,56,38,94,52,4,5,52,7,1.47,1.00,2.47,1.37,2.37,30,38.0,52,7,,429,,,,,,,,
Lyon,31,26.0,,38,418,"3,420",38.0,59,33,92,50,9,11,65,6,1.55,0.87,2.42,1.32,2.18,31,38.0,65,6,,578,,,,,,,,
Marseille,25,26.4,,38,418,"3,420",38.0,41,30,71,40,1,3,53,7,1.08,0.79,1.87,1.05,1.84,25,38.0,53,7,,507,,,,,,,,
Montpellier,28,26.6,,38,418,"3,420",38.0,52,34,86,49,3,4,67,6,1.37,0.89,2.26,1.29,2.18,28,38.0,67,6,,601,,,,,,,,
Nancy,29,25.5,,38,418,"3,420",38.0,38,27,65,37,1,2,65,5,1.00,0.71,1.71,0.97,1.68,29,38.0,65,5,,540,,,,,,,,
Nice,32,24.9,,38,418,"3,420",38.0,57,34,91,51,6,8,65,5,1.50,0.89,2.39,1.34,2.24,32,38.0,65,5,,579,,,,,,,,
Paris S-G,31,26.8,,38,418,"3,420",38.0,65,48,113,61,4,4,74,9,1.71,1.26,2.97,1.61,2.87,31,38.0,74,9,,466,,,,,,,,
Reims,26,26.1,,38,418,"3,420",38.0,30,18,48,27,3,6,66,6,0.79,0.47,1.26,0.71,1.18,26,38.0,66,6,,525,,,,,,,,
Rennes,31,24.8,,38,418,"3,420",38.0,48,33,81,46,2,2,46,10,1.26,0.87,2.13,1.21,2.08,31,38.0,46,10,,486,,,,,,,,
Saint-Étienne,25,25.9,,38,418,"3,420",38.0,57,44,101,55,2,3,59,4,1.50,1.16,2.66,1.45,2.61,25,38.0,59,4,,505,,,,,,,,
Sochaux,27,24.8,,38,418,"3,420",38.0,39,29,68,37,2,3,63,3,1.03,0.76,1.79,0.97,1.74,27,38.0,63,3,,521,,,,,,,,
Toulouse,24,24.1,,38,418,"3,420",38.0,47,35,82,46,1,2,64,7,1.24,0.92,2.16,1.21,2.13,24,38.0,64,7,,646,,,,,,,,
Troyes,26,26.7,,38,418,"3,420",38.0,43,28,71,41,2,3,55,5,1.13,0.74,1.87,1.08,1.82,26,38.0,55,5,,508,,,,,,,,
Valenciennes,26,26.7,,38,418,"3,420",38.0,45,32,77,42,3,4,58,3,1.18,0.84,2.03,1.11,1.95,26,38.0,58,3,,569,,,,,,,,
