team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,30,25.5,40.3,38,418,"3,420",38.0,40,31,71,39,1,3,109,4,38.5,36.1,27.7,63.8,454,1045,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68,30,38.0,109,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2
Athletic Club,26,26.7,49.6,38,418,"3,420",38.0,39,25,64,33,6,8,93,0,49.7,43.8,33.7,77.5,652,1519,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04,26,38.0,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54.0
Atlético Madrid,26,26.6,47.5,38,418,"3,420",38.0,57,41,98,53,4,5,96,5,50.2,46.3,36.6,82.9,703,1460,1.50,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18,26,38.0,96,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7
Barcelona,25,27.7,62.8,38,418,"3,420",38.0,96,74,170,93,3,5,67,2,83.5,80.1,64.6,144.7,1025,2151,2.53,1.95,4.47,2.45,4.39,2.20,1.70,3.90,2.11,3.81,25,38.0,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5
Betis,29,27.1,56.9,38,418,"3,420",38.0,56,43,99,54,2,3,91,3,46.0,43.7,35.2,78.9,736,1506,1.47,1.13,2.61,1.42,2.55,1.21,0.93,2.14,1.15,2.08,29,38.0,91,3,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7
Celta Vigo,23,25.7,55.7,38,418,"3,420",38.0,57,45,102,55,2,3,85,1,55.0,52.6,43.0,95.6,724,1595,1.50,1.18,2.68,1.45,2.63,1.45,1.13,2.58,1.39,2.52,23,38.0,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,51.0
Eibar,27,27.4,52.0,38,418,"3,420",38.0,43,31,74,41,2,3,86,3,40.9,38.6,30.2,68.8,635,1468,1.13,0.82,1.95,1.08,1.89,1.08,0.79,1.87,1.02,1.81,27,38.0,86,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2
Espanyol,25,26.8,46.9,38,418,"3,420",38.0,33,24,57,31,2,3,88,1,41.1,38.7,27.8,66.4,532,1276,0.87,0.63,1.50,0.82,1.45,1.08,0.73,1.81,1.02,1.75,25,38.0,88,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5
Getafe,32,28.2,40.2,38,418,"3,420",38.0,41,27,68,36,5,12,134,5,48.2,38.6,29.6,68.2,374,1092,1.08,0.71,1.79,0.95,1.66,1.27,0.78,2.05,1.02,1.79,32,38.0,134,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6
Girona,25,26.3,46.8,38,418,"3,420",38.0,50,31,81,44,6,8,102,0,50.6,44.4,34.4,78.8,590,1215,1.32,0.82,2.13,1.16,1.97,1.33,0.90,2.24,1.17,2.07,25,38.0,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9
