team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ascoli,27,26.5,,38,411,"3,420",38.0,40,24,64,37,3,3,86,8,1.05,0.63,1.68,0.97,1.61,27,38.0,86,8,,764,,,,,,,,
Cagliari,24,26.6,,38,420,"3,420",38.0,41,26,67,36,5,6,105,10,1.08,0.68,1.76,0.95,1.63,24,38.0,105,10,,766,,,,,,,,
Chievo,22,28.4,,38,418,"3,420",38.0,53,38,91,45,8,9,82,8,1.39,1.00,2.39,1.18,2.18,22,38.0,82,8,,804,,,,,,,,
Empoli,24,27.3,,38,435,"3,420",38.0,45,31,76,41,4,5,61,5,1.18,0.82,2.00,1.08,1.89,24,38.0,61,5,,743,,,,,,,,
Fiorentina,22,26.5,,38,414,"3,420",38.0,66,44,110,64,2,6,70,1,1.74,1.16,2.89,1.68,2.84,22,38.0,70,1,,818,,,,,,,,
Inter,30,28.3,,38,413,"3,420",38.0,67,42,109,62,5,5,74,4,1.76,1.11,2.87,1.63,2.74,30,38.0,74,4,,643,,,,,,,,
Juventus,22,28.9,,38,416,"3,420",38.0,69,53,122,66,3,4,66,3,1.82,1.39,3.21,1.74,3.13,22,38.0,66,3,,847,,,,,,,,
Lazio,28,28.5,,38,428,"3,420",38.0,57,38,95,51,6,6,74,4,1.50,1.00,2.50,1.34,2.34,28,38.0,74,4,,718,,,,,,,,
Lecce,33,24.8,,38,417,"3,420",38.0,30,25,55,23,7,8,103,10,0.79,0.66,1.45,0.61,1.26,33,38.0,103,10,,806,,,,,,,,
Livorno,23,28.5,,38,417,"3,420",38.0,35,22,57,30,5,6,66,5,0.92,0.58,1.50,0.79,1.37,23,38.0,66,5,,760,,,,,,,,
Messina,31,26.9,,38,407,"3,420",38.0,33,21,54,28,5,6,99,7,0.87,0.55,1.42,0.74,1.29,31,38.0,99,7,,834,,,,,,,,
Milan,23,29.6,,38,418,"3,420",38.0,84,55,139,74,10,10,55,3,2.21,1.45,3.66,1.95,3.39,23,38.0,55,3,,655,,,,,,,,
Palermo,28,26.1,,38,418,"3,420",38.0,50,34,84,49,1,1,86,5,1.32,0.89,2.21,1.29,2.18,28,38.0,86,5,,673,,,,,,,,
Parma,31,26.8,,38,414,"3,420",38.0,46,34,80,42,4,5,96,3,1.21,0.89,2.11,1.11,2.00,31,38.0,96,3,,915,,,,,,,,
Reggina,30,27.4,,38,417,"3,420",38.0,38,27,65,35,3,3,91,9,1.00,0.71,1.71,0.92,1.63,30,38.0,91,9,,770,,,,,,,,
Roma,25,26.2,,38,418,"3,420",38.0,69,46,115,59,10,11,81,7,1.82,1.21,3.03,1.55,2.76,25,38.0,81,7,,710,,,,,,,,
Sampdoria,29,28.9,,38,420,"3,420",38.0,47,27,74,43,4,5,93,5,1.24,0.71,1.95,1.13,1.84,29,38.0,93,5,,712,,,,,,,,
Siena,26,28.3,,38,415,"3,420",38.0,40,30,70,36,4,7,97,6,1.05,0.79,1.84,0.95,1.74,26,38.0,97,6,,789,,,,,,,,
Treviso,34,26.7,,38,415,"3,420",38.0,24,15,39,23,1,0,90,5,0.63,0.39,1.03,0.61,1.00,34,38.0,90,5,,753,,,,,,,,
Udinese,30,25.9,,38,406,"3,420",38.0,38,18,56,31,7,7,90,12,1.00,0.47,1.47,0.82,1.29,30,38.0,90,12,,750,,,,,,,,
