team,players_used_x,avg_age,possession,games,games_starts,minutes,minutes_90s_x,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow_x,cards_red_x,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used_y,minutes_90s_y,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,26,26.7,42.7,38,418,"3,420",38.0,39,27,66,37,2,3,101,1,41.1,38.8,29.0,67.8,511,1113,1.03,0.71,1.74,0.97,1.68,1.08,0.76,1.85,1.02,1.79,26,38.0,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3
Athletic Club,27,27.6,50.0,38,418,"3,420",38.0,39,26,65,34,5,7,120,4,43.4,37.8,30.7,68.5,626,1452,1.03,0.68,1.71,0.89,1.58,1.14,0.81,1.95,0.99,1.80,27,38.0,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1
Atlético Madrid,29,26.4,49.2,38,418,"3,420",38.0,53,36,89,50,3,4,103,5,47.3,44.1,35.3,79.5,677,1386,1.39,0.95,2.34,1.32,2.26,1.24,0.93,2.17,1.16,2.09,29,38.0,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5
Barcelona,30,27.7,64.4,38,418,"3,420",38.0,88,61,149,80,8,9,77,2,75.8,68.7,55.8,124.6,851,2110,2.32,1.61,3.92,2.11,3.71,1.99,1.47,3.46,1.81,3.28,30,38.0,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2
Betis,25,26.7,61.8,38,418,"3,420",38.0,43,30,73,38,5,7,89,1,47.1,41.5,32.9,74.4,887,1631,1.13,0.79,1.92,1.00,1.79,1.24,0.87,2.10,1.09,1.96,25,38.0,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8
Celta Vigo,28,25.5,51.6,38,418,"3,420",38.0,52,37,89,45,7,7,84,6,46.5,41.2,33.6,74.8,673,1288,1.37,0.97,2.34,1.18,2.16,1.22,0.88,2.11,1.08,1.97,28,38.0,84,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0
Eibar,25,28.5,54.0,38,418,"3,420",38.0,46,26,72,39,7,8,82,2,54.8,48.6,36.7,85.3,565,1619,1.21,0.68,1.89,1.03,1.71,1.44,0.96,2.41,1.28,2.24,25,38.0,82,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5
Espanyol,25,27.7,49.4,38,418,"3,420",38.0,43,26,69,39,4,4,92,2,48.9,45.8,33.8,79.6,642,1495,1.13,0.68,1.82,1.03,1.71,1.29,0.89,2.18,1.21,2.10,25,38.0,92,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4
Getafe,26,27.5,40.7,38,418,"3,420",38.0,47,34,81,41,6,6,111,7,46.2,41.6,32.9,74.4,448,1131,1.24,0.89,2.13,1.08,1.97,1.22,0.87,2.08,1.09,1.96,26,38.0,111,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9
Girona,26,26.6,48.0,38,418,"3,420",38.0,37,23,60,31,6,6,83,4,43.5,39.3,29.3,68.6,634,1316,0.97,0.61,1.58,0.82,1.42,1.14,0.77,1.91,1.04,1.81,26,38.0,83,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8
